,iteration,expected_reward,sub_opt_gap,opt_action_pr,algo,env_name,instance_number,run_number
0,0,0.5704250271649306,0.1795749728350694,0.3333333333333333,linear_pg,Random d=2,0,0
1,10000,0.7479032659677701,0.0020967340322299195,0.9788678649654303,linear_pg,Random d=2,0,0
2,20000,0.7489299943831597,0.0010700056168403398,0.9891988601475522,linear_pg,Random d=2,0,0
3,30000,0.7492837914165457,0.0007162085834543442,0.9927677809686478,linear_pg,Random d=2,0,0
4,40000,0.7494623111829085,0.0005376888170915209,0.9945697532770471,linear_pg,Random d=2,0,0
5,50000,0.7495697979808247,0.00043020201917531994,0.9956550107551065,linear_pg,Random d=2,0,0
6,60000,0.7496415630232199,0.00035843697678010576,0.9963796980385317,linear_pg,Random d=2,0,0
7,70000,0.7496928560610844,0.00030714393891557177,0.9968977001519785,linear_pg,Random d=2,0,0
8,80000,0.7497313339868886,0.0002686660131113912,0.997286304390525,linear_pg,Random d=2,0,0
9,90000,0.7497612611449568,0.00023873885504320665,0.997588561779097,linear_pg,Random d=2,0,0
10,100000,0.7497852000232379,0.00021479997676210512,0.9978303451304172,linear_pg,Random d=2,0,0
11,110000,0.7498047828425949,0.0001952171574051574,0.9980281359321438,linear_pg,Random d=2,0,0
12,120000,0.7498210983943968,0.00017890160560321534,0.9981929290100324,linear_pg,Random d=2,0,0
13,130000,0.749834900728297,0.0001650992717030452,0.9983323392515,linear_pg,Random d=2,0,0
14,140000,0.7498467285608716,0.00015327143912830638,0.9984518071630242,linear_pg,Random d=2,0,0
15,150000,0.7498569769891854,0.00014302301081460143,0.9985553229483608,linear_pg,Random d=2,0,0
16,160000,0.7498659423426872,0.0001340576573127956,0.9986458793959327,linear_pg,Random d=2,0,0
17,170000,0.7498738512194859,0.00012614878051404605,0.9987257650833385,linear_pg,Random d=2,0,0
18,180000,0.7498808798507814,0.00011912014921858162,0.9987967599242884,linear_pg,Random d=2,0,0
19,190000,0.7498871673535368,0.0001128326464631688,0.9988602690017117,linear_pg,Random d=2,0,0
20,200000,0.7498928250089352,0.00010717499106477552,0.9989174162694204,linear_pg,Random d=2,0,0
21,210000,0.7498979428905704,0.00010205710942957403,0.9989691114906765,linear_pg,Random d=2,0,0
22,220000,0.7499025946852457,9.740531475432304e-05,0.9990160989247104,linear_pg,Random d=2,0,0
23,230000,0.7499068412562581,9.31587437418966e-05,0.9990589933138778,linear_pg,Random d=2,0,0
24,240000,0.7499107333158496,8.926668415048025e-05,0.9990983068742836,linear_pg,Random d=2,0,0
25,250000,0.7499143134562122,8.568654378787125e-05,0.9991344698083457,linear_pg,Random d=2,0,0
26,260000,0.7499176177117287,8.238228827127164e-05,0.9991678460831434,linear_pg,Random d=2,0,0
27,270000,0.7499206767739761,7.932322602389368e-05,0.999198745701851,linear_pg,Random d=2,0,0
28,280000,0.7499235169463025,7.648305369749612e-05,0.9992274343449795,linear_pg,Random d=2,0,0
29,290000,0.7499261609008453,7.383909915468058e-05,0.9992541410163269,linear_pg,Random d=2,0,0
30,300000,0.749928628284094,7.137171590595873e-05,0.9992790641592546,linear_pg,Random d=2,0,0
31,310000,0.7499309362052018,6.906379479819721e-05,0.9993023765887464,linear_pg,Random d=2,0,0
32,320000,0.7499330996326998,6.690036730012521e-05,0.999324229498346,linear_pg,Random d=2,0,0
33,330000,0.7499351317190531,6.486828094690776e-05,0.9993447557382577,linear_pg,Random d=2,0,0
34,340000,0.7499370440679104,6.295593208963855e-05,0.9993640725146965,linear_pg,Random d=2,0,0
35,350000,0.7499388469555206,6.115304447943412e-05,0.9993822836262775,linear_pg,Random d=2,0,0
36,360000,0.7499405495152265,5.945048477349029e-05,0.9993994813274885,linear_pg,Random d=2,0,0
37,370000,0.7499421598920238,5.78401079761613e-05,0.9994157478898227,linear_pg,Random d=2,0,0
38,380000,0.7499436853727045,5.631462729547757e-05,0.9994311569162876,linear_pg,Random d=2,0,0
39,390000,0.7499451324959657,5.4867504034225546e-05,0.9994457744535699,linear_pg,Random d=2,0,0
40,400000,0.7499465071459918,5.349285400826318e-05,0.9994596599372799,linear_pg,Random d=2,0,0
41,410000,0.7499478146323354,5.218536766461376e-05,0.9994728669987931,linear_pg,Random d=2,0,0
42,420000,0.7499490597583796,5.0940241620394994e-05,0.9994854441567568,linear_pg,Random d=2,0,0
43,430000,0.7499502468802397,4.9753119760352496e-05,0.9994974354120507,linear_pg,Random d=2,0,0
44,440000,0.7499513799576293,4.86200423707634e-05,0.999508880761568,linear_pg,Random d=2,0,0
45,450000,0.7499524625979411,4.753740205883019e-05,0.9995198166434511,linear_pg,Random d=2,0,0
46,460000,0.7499534980945717,4.6501905428293926e-05,0.9995302763242139,linear_pg,Random d=2,0,0
47,470000,0.749954489460353,4.5510539647002014e-05,0.9995402902364166,linear_pg,Random d=2,0,0
48,480000,0.7499554394567999,4.4560543200131055e-05,0.9995498862741004,linear_pg,Random d=2,0,0
49,490000,0.7499563506197772,4.364938022282099e-05,0.9995590900520281,linear_pg,Random d=2,0,0
50,500000,0.7499572252820816,4.277471791835246e-05,0.9995679251337917,linear_pg,Random d=2,0,0
51,510000,0.7499580655933662,4.1934406633773185e-05,0.9995764132330665,linear_pg,Random d=2,0,0
52,520000,0.7499588735377659,4.112646223405198e-05,0.9995845743916324,linear_pg,Random d=2,0,0
53,530000,0.7499596509495234,4.034905047661287e-05,0.9995924271372231,linear_pg,Random d=2,0,0
54,540000,0.7499603995268804,3.960047311960923e-05,0.999599988623829,linear_pg,Random d=2,0,0
55,550000,0.7499611208444504,3.887915554953497e-05,0.9996072747566818,linear_pg,Random d=2,0,0
56,560000,0.7499618163642675,3.818363573252707e-05,0.9996143003038409,linear_pg,Random d=2,0,0
57,570000,0.7499624874456672,3.751255433281849e-05,0.9996210789960235,linear_pg,Random d=2,0,0
58,580000,0.7499631353541493,3.686464585072604e-05,0.9996276236161034,linear_pg,Random d=2,0,0
59,590000,0.7499637612693347,3.623873066525786e-05,0.9996339460794993,linear_pg,Random d=2,0,0
60,600000,0.749964366292129,3.563370787096955e-05,0.9996400575065215,linear_pg,Random d=2,0,0
61,610000,0.7499649514511786,3.5048548821439745e-05,0.9996459682875952,linear_pg,Random d=2,0,0
62,620000,0.7499655177087039,3.448229129607492e-05,0.9996516881421706,linear_pg,Random d=2,0,0
63,630000,0.7499660659657739,3.3934034226181816e-05,0.9996572261720142,linear_pg,Random d=2,0,0
64,640000,0.7499665970670893,3.34029329106282e-05,0.9996625909095074,linear_pg,Random d=2,0,0
65,650000,0.74996711180532,3.2888194679913806e-05,0.999667790361475,linear_pg,Random d=2,0,0
66,660000,0.7499676109250523,3.238907494773662e-05,0.9996728320490367,linear_pg,Random d=2,0,0
67,670000,0.7499680951263773,3.1904873622665744e-05,0.9996777230438777,linear_pg,Random d=2,0,0
68,680000,0.7499685650681676,3.1434931832467034e-05,0.9996824700013237,linear_pg,Random d=2,0,0
69,690000,0.7499690213710646,3.0978628935383646e-05,0.9996870791905343,linear_pg,Random d=2,0,0
70,700000,0.7499694646202134,3.053537978662841e-05,0.9996915565221088,linear_pg,Random d=2,0,0
71,710000,0.749969895367762,3.0104632237965007e-05,0.9996959075733546,linear_pg,Random d=2,0,0
72,720000,0.7499703141351577,2.968586484236588e-05,0.9997001376114532,linear_pg,Random d=2,0,0
73,730000,0.7499707214152482,2.9278584751770375e-05,0.9997042516147152,linear_pg,Random d=2,0,0
74,740000,0.7499711176742182,2.8882325781818716e-05,0.9997082542921156,linear_pg,Random d=2,0,0
75,750000,0.7499715033533664,2.8496646633607723e-05,0.9997121501012621,linear_pg,Random d=2,0,0
76,760000,0.7499718788707451,2.812112925486862e-05,0.9997159432649456,linear_pg,Random d=2,0,0
77,770000,0.7499722446226706,2.7755377329384583e-05,0.9997196377863995,linear_pg,Random d=2,0,0
78,780000,0.7499726009851176,2.739901488232153e-05,0.999723237463385,linear_pg,Random d=2,0,0
79,790000,0.7499729483150073,2.7051684992698897e-05,0.9997267459012043,linear_pg,Random d=2,0,0
80,800000,0.7499732869513992,2.6713048600786386e-05,0.9997301665247393,linear_pg,Random d=2,0,0
81,810000,0.7499736172165955,2.6382783404470966e-05,0.9997335025895978,linear_pg,Random d=2,0,0
82,820000,0.7499739394171622,2.6060582837827945e-05,0.9997367571924407,linear_pg,Random d=2,0,0
83,830000,0.7499742538448781,2.57461551218534e-05,0.9997399332805654,linear_pg,Random d=2,0,0
84,840000,0.7499745607776175,2.543922238255715e-05,0.9997430336608045,linear_pg,Random d=2,0,0
85,850000,0.7499748604801653,2.5139519834686098e-05,0.9997460610077914,linear_pg,Random d=2,0,0
86,860000,0.7499751532049816,2.4846795018311464e-05,0.9997490178716545,linear_pg,Random d=2,0,0
87,870000,0.7499754391929093,2.4560807090668924e-05,0.999751906685177,linear_pg,Random d=2,0,0
88,880000,0.7499757186738347,2.4281326165288077e-05,0.9997547297704695,linear_pg,Random d=2,0,0
89,890000,0.749975991867303,2.4008132697011343e-05,0.9997574893451909,linear_pg,Random d=2,0,0
90,900000,0.7499762589830948,2.374101690517141e-05,0.9997601875283578,linear_pg,Random d=2,0,0
91,910000,0.7499765202217613,2.3479778238735604e-05,0.9997628263457657,linear_pg,Random d=2,0,0
92,920000,0.7499767757751271,2.3224224872849745e-05,0.9997654077350611,linear_pg,Random d=2,0,0
93,930000,0.7499770258267597,2.2974173240291267e-05,0.9997679335504824,linear_pg,Random d=2,0,0
94,940000,0.7499772705524088,2.272944759120228e-05,0.9997704055673015,linear_pg,Random d=2,0,0
95,950000,0.7499775101204178,2.248987958217052e-05,0.9997728254859807,linear_pg,Random d=2,0,0
96,960000,0.7499777446921108,2.225530788922396e-05,0.999775194936074,linear_pg,Random d=2,0,0
97,970000,0.7499779744221536,2.2025577846324264e-05,0.9997775154798837,linear_pg,Random d=2,0,0
98,980000,0.7499781994588943,2.1800541105637742e-05,0.9997797886158934,linear_pg,Random d=2,0,0
99,990000,0.7499784199446823,2.158005531770058e-05,0.9997820157819948,linear_pg,Random d=2,0,0
100,1000000,0.7499786360161684,2.13639838315385e-05,0.9997841983585183,linear_pg,Random d=2,0,0
101,0,0.6486797732014954,0.10132022679850466,0.3333333333333333,linear_pg,Random d=2,1,1
102,10000,0.7354922033437348,0.014507796656265254,0.6549318929558644,linear_pg,Random d=2,1,1
103,20000,0.7390224500311464,0.01097754996885364,0.7263816590718231,linear_pg,Random d=2,1,1
104,30000,0.7411843736895033,0.008815626310496705,0.7767150576008953,linear_pg,Random d=2,1,1
105,40000,0.7427080094058696,0.007291990594130493,0.8138234402803362,linear_pg,Random d=2,1,1
106,50000,0.7438338257697154,0.006166174230284649,0.8418205266412727,linear_pg,Random d=2,1,1
107,60000,0.7446909802826033,0.005309019717396765,0.8633860930304968,linear_pg,Random d=2,1,1
108,70000,0.7453595026852937,0.0046404973147062545,0.8803290551723257,linear_pg,Random d=2,1,1
109,80000,0.7458918321158614,0.004108167884138647,0.8938873817126496,linear_pg,Random d=2,1,1
110,90000,0.7463234785089562,0.0036765214910438326,0.9049205301012223,linear_pg,Random d=2,1,1
111,100000,0.7466791144424698,0.0033208855575301774,0.9140350879889991,linear_pg,Random d=2,1,1
112,110000,0.7469762739816305,0.0030237260183695325,0.921666722147332,linear_pg,Random d=2,1,1
113,120000,0.7472276761681813,0.002772323831818635,0.9281338516317587,linear_pg,Random d=2,1,1
114,130000,0.7474427219578774,0.002557278042122628,0.9336731500979908,linear_pg,Random d=2,1,1
115,140000,0.7476284801153315,0.002371519884668556,0.938463345546037,linear_pg,Random d=2,1,1
116,150000,0.7477903498429381,0.0022096501570618154,0.9426414180898149,linear_pg,Random d=2,1,1
