,iteration,expected_reward,sub_opt_gap,opt_action_pr,algo,env_name,instance_number,run_number
0,0,0.4791198971438837,0.2708801028561163,0.16666666666666666,linear_spg_eta=100.0,Bernoulli (easy),0,0
1,10000,0.7499994729322484,5.270677517074768e-07,0.9999978889877066,linear_spg_eta=100.0,Bernoulli (easy),0,0
2,20000,0.7499997368083616,2.6319163853881293e-07,0.9999989454687928,linear_spg_eta=100.0,Bernoulli (easy),0,0
3,30000,0.7499998248337696,1.7516623041032484e-07,0.9999992980009883,linear_spg_eta=100.0,Bernoulli (easy),0,0
4,40000,0.749999868825881,1.3117411899259592e-07,0.9999994742169096,linear_spg_eta=100.0,Bernoulli (easy),0,0
5,50000,0.7499998949713833,1.0502861669504416e-07,0.9999995789601547,linear_spg_eta=100.0,Bernoulli (easy),0,0
6,60000,0.7499999123448392,8.765516082523535e-08,0.9999996485686047,linear_spg_eta=100.0,Bernoulli (easy),0,0
7,70000,0.7499999249139117,7.50860883139379e-08,0.9999996989323838,linear_spg_eta=100.0,Bernoulli (easy),0,0
8,80000,0.7499999343178427,6.56821572974041e-08,0.9999997366165366,linear_spg_eta=100.0,Bernoulli (easy),0,0
9,90000,0.7499999416134588,5.8386541221530616e-08,0.9999997658541213,linear_spg_eta=100.0,Bernoulli (easy),0,0
10,100000,0.7499999474236918,5.257630821174792e-08,0.9999997891404009,linear_spg_eta=100.0,Bernoulli (easy),0,0
11,110000,0.7499999521925339,4.780746611054298e-08,0.9999998082540679,linear_spg_eta=100.0,Bernoulli (easy),0,0
12,120000,0.749999956147323,4.3852677065296144e-08,0.9999998241058062,linear_spg_eta=100.0,Bernoulli (easy),0,0
13,130000,0.7499999595371569,4.0462843081839856e-08,0.9999998376937237,linear_spg_eta=100.0,Bernoulli (easy),0,0
14,140000,0.7499999624031026,3.7596897278825114e-08,0.9999998491821854,linear_spg_eta=100.0,Bernoulli (easy),0,0
15,150000,0.7499999648921531,3.510784686935865e-08,0.9999998591602351,linear_spg_eta=100.0,Bernoulli (easy),0,0
16,160000,0.7499999670694218,3.293057820501279e-08,0.9999998678887642,linear_spg_eta=100.0,Bernoulli (easy),0,0
17,170000,0.7499999690111574,3.098884263651502e-08,0.9999998756733458,linear_spg_eta=100.0,Bernoulli (easy),0,0
18,180000,0.7499999707226563,2.9277343584028183e-08,0.9999998825351326,linear_spg_eta=100.0,Bernoulli (easy),0,0
19,190000,0.749999972254482,2.77455180216477e-08,0.9999998886767729,linear_spg_eta=100.0,Bernoulli (easy),0,0
20,200000,0.7499999736533403,2.634665981785535e-08,0.9999998942854796,linear_spg_eta=100.0,Bernoulli (easy),0,0
21,210000,0.7499999749000147,2.5099985363124237e-08,0.9999998992841611,linear_spg_eta=100.0,Bernoulli (easy),0,0
22,220000,0.7499999760391735,2.3960826782283743e-08,0.9999999038518798,linear_spg_eta=100.0,Bernoulli (easy),0,0
23,230000,0.7499999770715186,2.2928481405368227e-08,0.9999999079914221,linear_spg_eta=100.0,Bernoulli (easy),0,0
24,240000,0.7499999780303401,2.196965987295058e-08,0.9999999118362497,linear_spg_eta=100.0,Bernoulli (easy),0,0
25,250000,0.7499999789086493,2.109135057051465e-08,0.9999999153583198,linear_spg_eta=100.0,Bernoulli (easy),0,0
26,260000,0.7499999797056679,2.029433206319136e-08,0.9999999185544903,linear_spg_eta=100.0,Bernoulli (easy),0,0
27,270000,0.7499999804519294,1.954807063762809e-08,0.9999999215471879,linear_spg_eta=100.0,Bernoulli (easy),0,0
28,280000,0.7499999811418028,1.8858197199596835e-08,0.9999999243138209,linear_spg_eta=100.0,Bernoulli (easy),0,0
29,290000,0.7499999817844383,1.8215561681311707e-08,0.9999999268910718,linear_spg_eta=100.0,Bernoulli (easy),0,0
30,300000,0.7499999823926669,1.76073333478218e-08,0.9999999293303888,linear_spg_eta=100.0,Bernoulli (easy),0,0
31,310000,0.7499999829601657,1.7039834284249694e-08,0.9999999316064092,linear_spg_eta=100.0,Bernoulli (easy),0,0
32,320000,0.7499999834946709,1.6505329128650203e-08,0.9999999337501486,linear_spg_eta=100.0,Bernoulli (easy),0,0
33,330000,0.749999983994698,1.6005302091069816e-08,0.9999999357556483,linear_spg_eta=100.0,Bernoulli (easy),0,0
34,340000,0.7499999844665127,1.553348736063138e-08,0.9999999376480316,linear_spg_eta=100.0,Bernoulli (easy),0,0
35,350000,0.7499999849091592,1.5090840868850046e-08,0.9999999394234605,linear_spg_eta=100.0,Bernoulli (easy),0,0
