,iteration,expected_reward,sub_opt_gap,opt_action_pr,algo,env_name,instance_number,run_number
0,0,0.4958239794287767,0.0541760205712233,0.16666666666666666,linear_spg_eta=1000.0,Bernoulli (hard),0,0
1,10000,0.5499999999995152,4.847821014149872e-13,0.9999999999903084,linear_spg_eta=1000.0,Bernoulli (hard),0,0
2,20000,0.5499999999995153,4.847021226641474e-13,0.9999999999903089,linear_spg_eta=1000.0,Bernoulli (hard),0,0
3,30000,0.5499999999995153,4.847468290537034e-13,0.9999999999903091,linear_spg_eta=1000.0,Bernoulli (hard),0,0
4,40000,0.5499999999995154,4.846684718191393e-13,0.9999999999903095,linear_spg_eta=1000.0,Bernoulli (hard),0,0
5,50000,0.5499999999995153,4.847100768227874e-13,0.9999999999903098,linear_spg_eta=1000.0,Bernoulli (hard),0,0
6,60000,0.5499999999995154,4.846293062643856e-13,0.9999999999903102,linear_spg_eta=1000.0,Bernoulli (hard),0,0
7,70000,0.5499999999995153,4.846733395145736e-13,0.9999999999903104,linear_spg_eta=1000.0,Bernoulli (hard),0,0
8,80000,0.5499999999995154,4.84593054771853e-13,0.9999999999903109,linear_spg_eta=1000.0,Bernoulli (hard),0,0
9,90000,0.5499999999995153,4.846374238777778e-13,0.9999999999903111,linear_spg_eta=1000.0,Bernoulli (hard),0,0
10,100000,0.5499999999995155,4.84556071125596e-13,0.9999999999903115,linear_spg_eta=1000.0,Bernoulli (hard),0,0
11,110000,0.5499999999995154,4.845987444702596e-13,0.9999999999903117,linear_spg_eta=1000.0,Bernoulli (hard),0,0
12,120000,0.5499999999995155,4.845169814572372e-13,0.9999999999903122,linear_spg_eta=1000.0,Bernoulli (hard),0,0
13,130000,0.5499999999995154,4.845602298453369e-13,0.9999999999903124,linear_spg_eta=1000.0,Bernoulli (hard),0,0
14,140000,0.5499999999995155,4.84480714993361e-13,0.9999999999903129,linear_spg_eta=1000.0,Bernoulli (hard),0,0
15,150000,0.5499999999995154,4.845248069397567e-13,0.9999999999903131,linear_spg_eta=1000.0,Bernoulli (hard),0,0
16,160000,0.5499999999995157,4.84444403547769e-13,0.9999999999903135,linear_spg_eta=1000.0,Bernoulli (hard),0,0
17,170000,0.5499999999995155,4.84486651108624e-13,0.9999999999903137,linear_spg_eta=1000.0,Bernoulli (hard),0,0
18,180000,0.5499999999995157,4.844053596569955e-13,0.9999999999903142,linear_spg_eta=1000.0,Bernoulli (hard),0,0
19,190000,0.5499999999995155,4.844480924875859e-13,0.9999999999903144,linear_spg_eta=1000.0,Bernoulli (hard),0,0
20,200000,0.5499999999995157,4.843704514595138e-13,0.9999999999903149,linear_spg_eta=1000.0,Bernoulli (hard),0,0
21,210000,0.5499999999995155,4.84412773576195e-13,0.9999999999903151,linear_spg_eta=1000.0,Bernoulli (hard),0,0
22,220000,0.5499999999995157,4.843329604332308e-13,0.9999999999903155,linear_spg_eta=1000.0,Bernoulli (hard),0,0
23,230000,0.5499999999995158,4.843750511671265e-13,0.9999999999903157,linear_spg_eta=1000.0,Bernoulli (hard),0,0
24,240000,0.5499999999995158,4.842946785340816e-13,0.9999999999903162,linear_spg_eta=1000.0,Bernoulli (hard),0,0
25,250000,0.5499999999995158,4.843385377311935e-13,0.9999999999903164,linear_spg_eta=1000.0,Bernoulli (hard),0,0
26,260000,0.5499999999995158,4.842558448318789e-13,0.9999999999903169,linear_spg_eta=1000.0,Bernoulli (hard),0,0
27,270000,0.5499999999995158,4.842970254383035e-13,0.9999999999903171,linear_spg_eta=1000.0,Bernoulli (hard),0,0
28,280000,0.5499999999995157,4.843390018129446e-13,0.9999999999903173,linear_spg_eta=1000.0,Bernoulli (hard),0,0
29,290000,0.5499999999995158,4.842568720075874e-13,0.9999999999903177,linear_spg_eta=1000.0,Bernoulli (hard),0,0
30,300000,0.5499999999995158,4.842994825472618e-13,0.999999999990318,linear_spg_eta=1000.0,Bernoulli (hard),0,0
31,310000,0.5499999999995159,4.842183752099615e-13,0.9999999999903184,linear_spg_eta=1000.0,Bernoulli (hard),0,0
32,320000,0.5499999999995158,4.842615003265535e-13,0.9999999999903186,linear_spg_eta=1000.0,Bernoulli (hard),0,0
33,330000,0.5499999999995159,4.841826977468623e-13,0.9999999999903191,linear_spg_eta=1000.0,Bernoulli (hard),0,0
34,340000,0.5499999999995158,4.842240999714426e-13,0.9999999999903193,linear_spg_eta=1000.0,Bernoulli (hard),0,0
35,350000,0.5499999999995159,4.841433064470428e-13,0.9999999999903197,linear_spg_eta=1000.0,Bernoulli (hard),0,0
36,360000,0.5499999999995158,4.841868935132731e-13,0.99999999999032,linear_spg_eta=1000.0,Bernoulli (hard),0,0
37,370000,0.549999999999516,4.841060778469465e-13,0.9999999999903204,linear_spg_eta=1000.0,Bernoulli (hard),0,0
38,380000,0.5499999999995159,4.841459743123718e-13,0.9999999999903206,linear_spg_eta=1000.0,Bernoulli (hard),0,0
39,390000,0.549999999999516,4.840659717523051e-13,0.9999999999903211,linear_spg_eta=1000.0,Bernoulli (hard),0,0
40,400000,0.5499999999995159,4.841091559107531e-13,0.9999999999903213,linear_spg_eta=1000.0,Bernoulli (hard),0,0
41,410000,0.549999999999516,4.840287136618697e-13,0.9999999999903217,linear_spg_eta=1000.0,Bernoulli (hard),0,0
42,420000,0.549999999999516,4.840669263337801e-13,0.999999999990322,linear_spg_eta=1000.0,Bernoulli (hard),0,0
43,430000,0.5499999999995161,4.839873864541626e-13,0.9999999999903224,linear_spg_eta=1000.0,Bernoulli (hard),0,0
44,440000,0.5499999999995161,4.840302573958344e-13,0.9999999999903226,linear_spg_eta=1000.0,Bernoulli (hard),0,0
45,450000,0.5499999999995161,4.839483106700676e-13,0.9999999999903231,linear_spg_eta=1000.0,Bernoulli (hard),0,0
46,460000,0.5499999999995161,4.839902948375406e-13,0.9999999999903233,linear_spg_eta=1000.0,Bernoulli (hard),0,0
47,470000,0.5499999999995161,4.839078793415646e-13,0.9999999999903237,linear_spg_eta=1000.0,Bernoulli (hard),0,0
48,480000,0.5499999999995161,4.83948857837324e-13,0.999999999990324,linear_spg_eta=1000.0,Bernoulli (hard),0,0
49,490000,0.549999999999516,4.839928360948161e-13,0.9999999999903242,linear_spg_eta=1000.0,Bernoulli (hard),0,0
50,500000,0.5499999999995162,4.83912919342583e-13,0.9999999999903246,linear_spg_eta=1000.0,Bernoulli (hard),0,0
51,510000,0.5499999999995161,4.839541039229297e-13,0.9999999999903249,linear_spg_eta=1000.0,Bernoulli (hard),0,0
52,520000,0.5499999999995162,4.83876310080586e-13,0.9999999999903253,linear_spg_eta=1000.0,Bernoulli (hard),0,0
53,530000,0.5499999999995161,4.839198853907773e-13,0.9999999999903255,linear_spg_eta=1000.0,Bernoulli (hard),0,0
54,540000,0.5499999999995162,4.838389409496434e-13,0.999999999990326,linear_spg_eta=1000.0,Bernoulli (hard),0,0
55,550000,0.5499999999995161,4.838804681331092e-13,0.9999999999903262,linear_spg_eta=1000.0,Bernoulli (hard),0,0
56,560000,0.5499999999995162,4.838004548470515e-13,0.9999999999903266,linear_spg_eta=1000.0,Bernoulli (hard),0,0
57,570000,0.5499999999995162,4.838410364752367e-13,0.9999999999903268,linear_spg_eta=1000.0,Bernoulli (hard),0,0
58,580000,0.5499999999995163,4.837602566246083e-13,0.9999999999903273,linear_spg_eta=1000.0,Bernoulli (hard),0,0
59,590000,0.5499999999995162,4.838020966496909e-13,0.9999999999903275,linear_spg_eta=1000.0,Bernoulli (hard),0,0
60,600000,0.5499999999995163,4.837209970366146e-13,0.999999999990328,linear_spg_eta=1000.0,Bernoulli (hard),0,0
61,610000,0.5499999999995162,4.83762665886957e-13,0.9999999999903282,linear_spg_eta=1000.0,Bernoulli (hard),0,0
62,620000,0.5499999999995163,4.836837474661458e-13,0.9999999999903286,linear_spg_eta=1000.0,Bernoulli (hard),0,0
63,630000,0.5499999999995162,4.837250366972968e-13,0.9999999999903288,linear_spg_eta=1000.0,Bernoulli (hard),0,0
64,640000,0.5499999999995164,4.836464828745346e-13,0.9999999999903293,linear_spg_eta=1000.0,Bernoulli (hard),0,0
65,650000,0.5499999999995164,4.836891190297463e-13,0.9999999999903295,linear_spg_eta=1000.0,Bernoulli (hard),0,0
66,660000,0.5499999999995164,4.836112867064118e-13,0.99999999999033,linear_spg_eta=1000.0,Bernoulli (hard),0,0
67,670000,0.5499999999995164,4.836533645355432e-13,0.9999999999903302,linear_spg_eta=1000.0,Bernoulli (hard),0,0
68,680000,0.5499999999995164,4.835739620174406e-13,0.9999999999903306,linear_spg_eta=1000.0,Bernoulli (hard),0,0
69,690000,0.5499999999995164,4.836155115252508e-13,0.9999999999903308,linear_spg_eta=1000.0,Bernoulli (hard),0,0
70,700000,0.5499999999995165,4.835341228486741e-13,0.9999999999903313,linear_spg_eta=1000.0,Bernoulli (hard),0,0
71,710000,0.5499999999995165,4.835740434007465e-13,0.9999999999903315,linear_spg_eta=1000.0,Bernoulli (hard),0,0
72,720000,0.5499999999995164,4.83616899607129e-13,0.9999999999903317,linear_spg_eta=1000.0,Bernoulli (hard),0,0
73,730000,0.5499999999995165,4.835350603752311e-13,0.9999999999903322,linear_spg_eta=1000.0,Bernoulli (hard),0,0
74,740000,0.5499999999995164,4.835780131114292e-13,0.9999999999903324,linear_spg_eta=1000.0,Bernoulli (hard),0,0
75,750000,0.5499999999995165,4.834954083592922e-13,0.9999999999903328,linear_spg_eta=1000.0,Bernoulli (hard),0,0
76,760000,0.5499999999995164,4.835394986783256e-13,0.9999999999903331,linear_spg_eta=1000.0,Bernoulli (hard),0,0
77,770000,0.5499999999995167,4.834587458475275e-13,0.9999999999903335,linear_spg_eta=1000.0,Bernoulli (hard),0,0
78,780000,0.5499999999995165,4.834995122456502e-13,0.9999999999903337,linear_spg_eta=1000.0,Bernoulli (hard),0,0
79,790000,0.5499999999995167,4.834173992945332e-13,0.9999999999903342,linear_spg_eta=1000.0,Bernoulli (hard),0,0
80,800000,0.5499999999995165,4.834597196409845e-13,0.9999999999903344,linear_spg_eta=1000.0,Bernoulli (hard),0,0
81,810000,0.5499999999995167,4.833775551967704e-13,0.9999999999903348,linear_spg_eta=1000.0,Bernoulli (hard),0,0
82,820000,0.5499999999995165,4.83419972116643e-13,0.9999999999903351,linear_spg_eta=1000.0,Bernoulli (hard),0,0
83,830000,0.5499999999995167,4.83343107478145e-13,0.9999999999903355,linear_spg_eta=1000.0,Bernoulli (hard),0,0
84,840000,0.5499999999995167,4.833839559163888e-13,0.9999999999903357,linear_spg_eta=1000.0,Bernoulli (hard),0,0
85,850000,0.5499999999995168,4.833044823470499e-13,0.9999999999903362,linear_spg_eta=1000.0,Bernoulli (hard),0,0
86,860000,0.5499999999995168,4.833442979568655e-13,0.9999999999903364,linear_spg_eta=1000.0,Bernoulli (hard),0,0
87,870000,0.5499999999995168,4.832643861519747e-13,0.9999999999903368,linear_spg_eta=1000.0,Bernoulli (hard),0,0
88,880000,0.5499999999995168,4.833038231201451e-13,0.9999999999903371,linear_spg_eta=1000.0,Bernoulli (hard),0,0
89,890000,0.5499999999995168,4.832226114693518e-13,0.9999999999903375,linear_spg_eta=1000.0,Bernoulli (hard),0,0
90,900000,0.5499999999995168,4.832651764309597e-13,0.9999999999903377,linear_spg_eta=1000.0,Bernoulli (hard),0,0
91,910000,0.5499999999995169,4.831861415527391e-13,0.9999999999903382,linear_spg_eta=1000.0,Bernoulli (hard),0,0
92,920000,0.5499999999995169,4.832291890557977e-13,0.9999999999903384,linear_spg_eta=1000.0,Bernoulli (hard),0,0
93,930000,0.5499999999995168,4.832711271241773e-13,0.9999999999903386,linear_spg_eta=1000.0,Bernoulli (hard),0,0
94,940000,0.5499999999995169,4.831907501813514e-13,0.9999999999903391,linear_spg_eta=1000.0,Bernoulli (hard),0,0
95,950000,0.5499999999995168,4.832320123352761e-13,0.9999999999903393,linear_spg_eta=1000.0,Bernoulli (hard),0,0
96,960000,0.5499999999995169,4.831503063714453e-13,0.9999999999903397,linear_spg_eta=1000.0,Bernoulli (hard),0,0
97,970000,0.5499999999995168,4.831903285481249e-13,0.99999999999034,linear_spg_eta=1000.0,Bernoulli (hard),0,0
98,980000,0.549999999999517,4.831111550697333e-13,0.9999999999903404,linear_spg_eta=1000.0,Bernoulli (hard),0,0
99,990000,0.5499999999995169,4.831515412356426e-13,0.9999999999903406,linear_spg_eta=1000.0,Bernoulli (hard),0,0
100,1000000,0.549999999999517,4.830698510862541e-13,0.9999999999903411,linear_spg_eta=1000.0,Bernoulli (hard),0,0
101,0,0.4958239794287767,0.0541760205712233,0.16666666666666666,linear_spg_eta=1000.0,Bernoulli (hard),0,1
102,10000,,,,linear_spg_eta=1000.0,Bernoulli (hard),0,1
103,20000,,,,linear_spg_eta=1000.0,Bernoulli (hard),0,1
104,30000,,,,linear_spg_eta=1000.0,Bernoulli (hard),0,1
105,40000,,,,linear_spg_eta=1000.0,Bernoulli (hard),0,1
106,50000,,,,linear_spg_eta=1000.0,Bernoulli (hard),0,1
107,60000,,,,linear_spg_eta=1000.0,Bernoulli (hard),0,1
108,70000,,,,linear_spg_eta=1000.0,Bernoulli (hard),0,1
109,80000,,,,linear_spg_eta=1000.0,Bernoulli (hard),0,1
110,90000,,,,linear_spg_eta=1000.0,Bernoulli (hard),0,1
111,100000,,,,linear_spg_eta=1000.0,Bernoulli (hard),0,1
112,110000,,,,linear_spg_eta=1000.0,Bernoulli (hard),0,1
113,120000,,,,linear_spg_eta=1000.0,Bernoulli (hard),0,1
114,130000,,,,linear_spg_eta=1000.0,Bernoulli (hard),0,1
115,140000,,,,linear_spg_eta=1000.0,Bernoulli (hard),0,1
116,150000,,,,linear_spg_eta=1000.0,Bernoulli (hard),0,1
117,160000,,,,linear_spg_eta=1000.0,Bernoulli (hard),0,1
118,170000,,,,linear_spg_eta=1000.0,Bernoulli (hard),0,1
119,180000,,,,linear_spg_eta=1000.0,Bernoulli (hard),0,1
120,190000,,,,linear_spg_eta=1000.0,Bernoulli (hard),0,1
121,200000,,,,linear_spg_eta=1000.0,Bernoulli (hard),0,1
122,210000,,,,linear_spg_eta=1000.0,Bernoulli (hard),0,1
123,220000,,,,linear_spg_eta=1000.0,Bernoulli (hard),0,1
124,230000,,,,linear_spg_eta=1000.0,Bernoulli (hard),0,1
125,240000,,,,linear_spg_eta=1000.0,Bernoulli (hard),0,1
126,250000,,,,linear_spg_eta=1000.0,Bernoulli (hard),0,1
127,260000,,,,linear_spg_eta=1000.0,Bernoulli (hard),0,1
128,270000,,,,linear_spg_eta=1000.0,Bernoulli (hard),0,1
129,280000,,,,linear_spg_eta=1000.0,Bernoulli (hard),0,1
130,290000,,,,linear_spg_eta=1000.0,Bernoulli (hard),0,1
131,300000,,,,linear_spg_eta=1000.0,Bernoulli (hard),0,1
132,310000,,,,linear_spg_eta=1000.0,Bernoulli (hard),0,1
133,320000,,,,linear_spg_eta=1000.0,Bernoulli (hard),0,1
134,330000,,,,linear_spg_eta=1000.0,Bernoulli (hard),0,1
135,340000,,,,linear_spg_eta=1000.0,Bernoulli (hard),0,1
136,350000,,,,linear_spg_eta=1000.0,Bernoulli (hard),0,1
137,360000,,,,linear_spg_eta=1000.0,Bernoulli (hard),0,1
138,370000,,,,linear_spg_eta=1000.0,Bernoulli (hard),0,1
139,380000,,,,linear_spg_eta=1000.0,Bernoulli (hard),0,1
140,390000,,,,linear_spg_eta=1000.0,Bernoulli (hard),0,1
