,iteration,expected_reward,sub_opt_gap,opt_action_pr,algo,env_name,instance_number,run_number
0,0,0.45823979428776745,0.5417602057122328,0.16666666666666666,linear_spg_eta=100.0,Bernoulli,0,0
1,10000,0.9999992147376122,7.852623878353487e-07,0.999998427184849,linear_spg_eta=100.0,Bernoulli,0,0
2,20000,0.9999996062950336,3.937049664818061e-07,0.9999992111428485,linear_spg_eta=100.0,Bernoulli,0,0
3,30000,0.9999997372330582,2.627669417445945e-07,0.9999994733782582,linear_spg_eta=100.0,Bernoulli,0,0
4,40000,0.9999998027912798,1.9720872024157244e-07,0.9999996046987917,linear_spg_eta=100.0,Bernoulli,0,0
5,50000,0.9999998421580384,1.5784196158834454e-07,0.9999996835656688,linear_spg_eta=100.0,Bernoulli,0,0
6,60000,0.9999998684171711,1.315828288588215e-07,0.9999997361786966,linear_spg_eta=100.0,Bernoulli,0,0
7,70000,0.9999998871815344,1.1281846559574856e-07,0.9999997737786347,linear_spg_eta=100.0,Bernoulli,0,0
8,80000,0.9999999012594687,9.874053134771824e-08,0.9999998019902049,linear_spg_eta=100.0,Bernoulli,0,0
9,90000,0.9999999122119612,8.778803886020042e-08,0.9999998239400923,linear_spg_eta=100.0,Bernoulli,0,0
10,100000,0.9999999209759801,7.90240197932956e-08,0.9999998415051896,linear_spg_eta=100.0,Bernoulli,0,0
11,110000,0.9999999281479769,7.185202305162488e-08,0.9999998558803503,linear_spg_eta=100.0,Bernoulli,0,0
12,120000,0.9999999341256938,6.587430623836068e-08,0.9999998678624057,linear_spg_eta=100.0,Bernoulli,0,0
13,130000,0.9999999391845585,6.081544151052414e-08,0.9999998780031687,linear_spg_eta=100.0,Bernoulli,0,0
14,140000,0.9999999435213442,5.647865580858656e-08,0.9999998866968893,linear_spg_eta=100.0,Bernoulli,0,0
15,150000,0.9999999472803788,5.2719621201052554e-08,0.9999998942327507,linear_spg_eta=100.0,Bernoulli,0,0
16,160000,0.9999999505699251,4.9430074997893536e-08,0.9999999008276833,linear_spg_eta=100.0,Bernoulli,0,0
17,170000,0.9999999534727855,4.652721461293163e-08,0.9999999066476071,linear_spg_eta=100.0,Bernoulli,0,0
18,180000,0.9999999560533693,4.394663069170046e-08,0.9999999118215914,linear_spg_eta=100.0,Bernoulli,0,0
19,190000,0.9999999583625342,4.163746586749761e-08,0.9999999164515508,linear_spg_eta=100.0,Bernoulli,0,0
