,iteration,expected_reward,sub_opt_gap,opt_action_pr,algo,env_name,instance_number,run_number
0,0,0.2291198971438837,0.2708801028561164,0.16666666666666666,linear_spg_eta=1000.0,Beta (easy),0,0
1,10000,0.49999992623990136,7.376009859498022e-08,0.9999997050100999,linear_spg_eta=1000.0,Beta (easy),0,0
2,20000,0.49999996209224484,3.7907755136496265e-08,0.9999998483869149,linear_spg_eta=1000.0,Beta (easy),0,0
3,30000,0.4999999744629152,2.5537084731559823e-08,0.999999897860586,linear_spg_eta=1000.0,Beta (easy),0,0
4,40000,0.499999980728703,1.9271296970762206e-08,0.9999999229198389,linear_spg_eta=1000.0,Beta (easy),0,0
5,50000,0.4999999845320708,1.5467929255980355e-08,0.9999999381312346,linear_spg_eta=1000.0,Beta (easy),0,0
6,60000,0.4999999870404745,1.2959525512893396e-08,0.9999999481636315,linear_spg_eta=1000.0,Beta (easy),0,0
7,70000,0.49999998887221586,1.1127784116369073e-08,0.999999955489798,linear_spg_eta=1000.0,Beta (easy),0,0
8,80000,0.499999990260873,9.739126986935128e-09,0.9999999610438806,linear_spg_eta=1000.0,Beta (easy),0,0
9,90000,0.4999999913346682,8.665331836600674e-09,0.9999999653386792,linear_spg_eta=1000.0,Beta (easy),0,0
10,100000,0.4999999921957013,7.804298735812248e-09,0.9999999687825342,linear_spg_eta=1000.0,Beta (easy),0,0
11,110000,0.49999999290152836,7.098471695756059e-09,0.9999999716056364,linear_spg_eta=1000.0,Beta (easy),0,0
12,120000,0.4999999934909939,6.509006166557121e-09,0.9999999739633427,linear_spg_eta=1000.0,Beta (easy),0,0
13,130000,0.499999993988483,6.0115170845301255e-09,0.9999999759531802,linear_spg_eta=1000.0,Beta (easy),0,0
14,140000,0.49999999441705406,5.582945979272478e-09,0.9999999776673727,linear_spg_eta=1000.0,Beta (easy),0,0
15,150000,0.4999999947909457,5.209054404067182e-09,0.9999999791628664,linear_spg_eta=1000.0,Beta (easy),0,0
16,160000,0.4999999951139111,4.886088883122542e-09,0.9999999804546732,linear_spg_eta=1000.0,Beta (easy),0,0
17,170000,0.499999995398999,4.6010010381036395e-09,0.9999999815949806,linear_spg_eta=1000.0,Beta (easy),0,0
18,180000,0.4999999956523574,4.347642551694822e-09,0.9999999826083804,linear_spg_eta=1000.0,Beta (easy),0,0
19,190000,0.4999999958802112,4.119788788891786e-09,0.999999983519769,linear_spg_eta=1000.0,Beta (easy),0,0
20,200000,0.49999999608550144,3.9144985385685406e-09,0.9999999843409093,linear_spg_eta=1000.0,Beta (easy),0,0
21,210000,0.4999999962705803,3.7294196835594235e-09,0.9999999850812091,linear_spg_eta=1000.0,Beta (easy),0,0
22,220000,0.4999999964393934,3.5606065678419685e-09,0.9999999857564497,linear_spg_eta=1000.0,Beta (easy),0,0
23,230000,0.4999999965928522,3.4071477768002613e-09,0.9999999863702764,linear_spg_eta=1000.0,Beta (easy),0,0
24,240000,0.49999999673432177,3.2656781678997133e-09,0.9999999869361493,linear_spg_eta=1000.0,Beta (easy),0,0
25,250000,0.4999999968639928,3.1360071257295862e-09,0.9999999874548299,linear_spg_eta=1000.0,Beta (easy),0,0
26,260000,0.4999999969838309,3.016169095171772e-09,0.99999998793418,linear_spg_eta=1000.0,Beta (easy),0,0
27,270000,0.49999999709494164,2.905058332943736e-09,0.9999999883786229,linear_spg_eta=1000.0,Beta (easy),0,0
28,280000,0.49999999719810684,2.8018931288952348e-09,0.9999999887912846,linear_spg_eta=1000.0,Beta (easy),0,0
29,290000,0.49999999729486183,2.7051381459678343e-09,0.999999989178307,linear_spg_eta=1000.0,Beta (easy),0,0
30,300000,0.4999999973848154,2.6151846256428615e-09,0.9999999895381239,linear_spg_eta=1000.0,Beta (easy),0,0
31,310000,0.49999999746957907,2.530420895146287e-09,0.9999999898771824,linear_spg_eta=1000.0,Beta (easy),0,0
32,320000,0.499999997548998,2.4510019877375674e-09,0.9999999901948627,linear_spg_eta=1000.0,Beta (easy),0,0
33,330000,0.4999999976237345,2.376265526011275e-09,0.9999999904938134,linear_spg_eta=1000.0,Beta (easy),0,0
34,340000,0.4999999976929392,2.307060816391675e-09,0.9999999907706375,linear_spg_eta=1000.0,Beta (easy),0,0
35,350000,0.4999999977591632,2.240836828706555e-09,0.9999999910355392,linear_spg_eta=1000.0,Beta (easy),0,0
36,360000,0.49999999782095467,2.1790453836793018e-09,0.9999999912827106,linear_spg_eta=1000.0,Beta (easy),0,0
37,370000,0.49999999787958765,2.1204123223224197e-09,0.9999999915172489,linear_spg_eta=1000.0,Beta (easy),0,0
38,380000,0.4999999979347681,2.0652318598608247e-09,0.9999999917379773,linear_spg_eta=1000.0,Beta (easy),0,0
39,390000,0.4999999979881677,2.0118323403397208e-09,0.999999991951582,linear_spg_eta=1000.0,Beta (easy),0,0
40,400000,0.499999998038629,1.961371010471388e-09,0.9999999921534338,linear_spg_eta=1000.0,Beta (easy),0,0
41,410000,0.4999999980861585,1.9138415006808496e-09,0.9999999923435586,linear_spg_eta=1000.0,Beta (easy),0,0
42,420000,0.49999999813179685,1.868203189814992e-09,0.9999999925261188,linear_spg_eta=1000.0,Beta (easy),0,0
43,430000,0.4999999981752593,1.8247407504260293e-09,0.9999999926999754,linear_spg_eta=1000.0,Beta (easy),0,0
44,440000,0.49999999821659924,1.7834007437214352e-09,0.9999999928653422,linear_spg_eta=1000.0,Beta (easy),0,0
45,450000,0.49999999825607216,1.743927851445737e-09,0.9999999930232406,linear_spg_eta=1000.0,Beta (easy),0,0
46,460000,0.4999999982940582,1.7059418285813812e-09,0.9999999931751915,linear_spg_eta=1000.0,Beta (easy),0,0
47,470000,0.49999999833034336,1.6696566641682169e-09,0.9999999933203392,linear_spg_eta=1000.0,Beta (easy),0,0
48,480000,0.49999999836502085,1.6349790965456299e-09,0.9999999934590562,linear_spg_eta=1000.0,Beta (easy),0,0
49,490000,0.49999999839820936,1.601790567983515e-09,0.9999999935918171,linear_spg_eta=1000.0,Beta (easy),0,0
50,500000,0.49999999843008824,1.569911775587738e-09,0.9999999937193391,linear_spg_eta=1000.0,Beta (easy),0,0
51,510000,0.49999999846051063,1.5394893663392947e-09,0.9999999938410353,linear_spg_eta=1000.0,Beta (easy),0,0
52,520000,0.4999999984900902,1.509909772068644e-09,0.9999999939593605,linear_spg_eta=1000.0,Beta (easy),0,0
53,530000,0.4999999985183415,1.4816585180574609e-09,0.9999999940723718,linear_spg_eta=1000.0,Beta (easy),0,0
54,540000,0.49999999854562227,1.454377693547466e-09,0.9999999941815019,linear_spg_eta=1000.0,Beta (easy),0,0
55,550000,0.4999999985720355,1.4279644567705865e-09,0.9999999942871614,linear_spg_eta=1000.0,Beta (easy),0,0
56,560000,0.49999999859747496,1.402524993891306e-09,0.9999999943889255,linear_spg_eta=1000.0,Beta (easy),0,0
57,570000,0.499999998622239,1.3777610204355883e-09,0.9999999944879878,linear_spg_eta=1000.0,Beta (easy),0,0
58,580000,0.49999999864585837,1.3541415914784978e-09,0.9999999945824716,linear_spg_eta=1000.0,Beta (easy),0,0
59,590000,0.49999999866896294,1.3310370447123326e-09,0.9999999946748961,linear_spg_eta=1000.0,Beta (easy),0,0
60,600000,0.4999999986911377,1.3088622095170025e-09,0.9999999947636018,linear_spg_eta=1000.0,Beta (easy),0,0
61,610000,0.49999999871247464,1.2875253262120677e-09,0.9999999948489553,linear_spg_eta=1000.0,Beta (easy),0,0
62,620000,0.4999999987332886,1.2667113739810257e-09,0.9999999949322169,linear_spg_eta=1000.0,Beta (easy),0,0
63,630000,0.49999999875342727,1.2465727448571623e-09,0.9999999950127776,linear_spg_eta=1000.0,Beta (easy),0,0
64,640000,0.49999999877282386,1.2271761670149862e-09,0.9999999950903697,linear_spg_eta=1000.0,Beta (easy),0,0
