,iteration,expected_reward,sub_opt_gap,opt_action_pr,algo,env_name,instance_number,run_number
0,0,0.4958239794287767,0.0541760205712233,0.16666666666666666,linear_spg_eta=0.03,Beta (hard),0,0
1,10000,0.5411727341360594,0.008827265863940644,0.8344446575831562,linear_spg_eta=0.03,Beta (hard),0,0
2,20000,0.5466795255376476,0.003320474462352326,0.9340196464547098,linear_spg_eta=0.03,Beta (hard),0,0
3,30000,0.5473526040058091,0.0026473959941909846,0.9471020831599574,linear_spg_eta=0.03,Beta (hard),0,0
4,40000,0.54786621436739,0.0021337856326100386,0.957203811981586,linear_spg_eta=0.03,Beta (hard),0,0
5,50000,0.548111653761841,0.0018883462381589545,0.9619837700794142,linear_spg_eta=0.03,Beta (hard),0,0
6,60000,0.5482839139533955,0.0017160860466044403,0.965250640069762,linear_spg_eta=0.03,Beta (hard),0,0
7,70000,0.5485005737759108,0.0014994262240893925,0.9694636437709114,linear_spg_eta=0.03,Beta (hard),0,0
8,80000,0.5487925623736197,0.001207437626380156,0.9752626078487427,linear_spg_eta=0.03,Beta (hard),0,0
9,90000,0.5488747615685637,0.0011252384314362597,0.9769517824391649,linear_spg_eta=0.03,Beta (hard),0,0
10,100000,0.5489601620959892,0.0010398379040107667,0.9786435438676165,linear_spg_eta=0.03,Beta (hard),0,0
11,110000,0.5491773656603806,0.0008226343396193807,0.9830788044928799,linear_spg_eta=0.03,Beta (hard),0,0
12,120000,0.5493597336383758,0.0006402663616242334,0.9867933092270129,linear_spg_eta=0.03,Beta (hard),0,0
13,130000,0.5494497621587638,0.0005502378412363575,0.9886313227296545,linear_spg_eta=0.03,Beta (hard),0,0
14,140000,0.5495006982177245,0.0004993017822754977,0.98964954496131,linear_spg_eta=0.03,Beta (hard),0,0
15,150000,0.5494830571929928,0.0005169428070071343,0.9892914191482387,linear_spg_eta=0.03,Beta (hard),0,0
16,160000,0.5495189599420052,0.0004810400579948803,0.9900207450860586,linear_spg_eta=0.03,Beta (hard),0,0
17,170000,0.5494892491140506,0.0005107508859494026,0.9894070702185424,linear_spg_eta=0.03,Beta (hard),0,0
18,180000,0.5494890729082864,0.0005109270917137654,0.9893922998201784,linear_spg_eta=0.03,Beta (hard),0,0
19,190000,0.549375874482941,0.0006241255170590381,0.9870718281070903,linear_spg_eta=0.03,Beta (hard),0,0
20,200000,0.5494969154632663,0.0005030845367337379,0.9895479081705313,linear_spg_eta=0.03,Beta (hard),0,0
21,210000,0.5495745030136863,0.0004254969863137551,0.991156189003597,linear_spg_eta=0.03,Beta (hard),0,0
22,220000,0.5496471849873449,0.000352815012655149,0.9926468304570291,linear_spg_eta=0.03,Beta (hard),0,0
23,230000,0.5497133803199308,0.00028661968006936074,0.9940087824072428,linear_spg_eta=0.03,Beta (hard),0,0
24,240000,0.549718946588018,0.0002810534119819983,0.9941295567696505,linear_spg_eta=0.03,Beta (hard),0,0
25,250000,0.5497459104541563,0.00025408954584373543,0.9946849432862038,linear_spg_eta=0.03,Beta (hard),0,0
26,260000,0.5497581486918787,0.0002418513081213576,0.9949318234407251,linear_spg_eta=0.03,Beta (hard),0,0
27,270000,0.5497709828292195,0.00022901717078051105,0.9951990679639416,linear_spg_eta=0.03,Beta (hard),0,0
28,280000,0.5497912833767968,0.00020871662320329072,0.9956231633840061,linear_spg_eta=0.03,Beta (hard),0,0
29,290000,0.5498109986045309,0.00018900139546926153,0.9960342354666796,linear_spg_eta=0.03,Beta (hard),0,0
30,300000,0.5498356701917546,0.00016432980824533693,0.9965485108812009,linear_spg_eta=0.03,Beta (hard),0,0
31,310000,0.5498400057431,0.00015999425689996473,0.9966402361067899,linear_spg_eta=0.03,Beta (hard),0,0
32,320000,0.5498481498102363,0.00015185018976365803,0.9968091388897983,linear_spg_eta=0.03,Beta (hard),0,0
33,330000,0.5498451714346085,0.000154828565391552,0.9967486580395446,linear_spg_eta=0.03,Beta (hard),0,0
34,340000,0.549854502032937,0.00014549796706306542,0.9969459404893558,linear_spg_eta=0.03,Beta (hard),0,0
35,350000,0.549861859964767,0.00013814003523294238,0.997095179644201,linear_spg_eta=0.03,Beta (hard),0,0
36,360000,0.5498672620134594,0.00013273798654067146,0.9972065647893468,linear_spg_eta=0.03,Beta (hard),0,0
37,370000,0.5498672032761504,0.00013279672384969011,0.9972060064925908,linear_spg_eta=0.03,Beta (hard),0,0
38,380000,0.5498707090315748,0.00012929096842523074,0.9972777938110642,linear_spg_eta=0.03,Beta (hard),0,0
39,390000,0.5498763139222838,0.00012368607771638166,0.9973934546877044,linear_spg_eta=0.03,Beta (hard),0,0
40,400000,0.5498702585365544,0.00012974146344571654,0.9972676893368403,linear_spg_eta=0.03,Beta (hard),0,0
41,410000,0.5498717591594158,0.00012824084058417402,0.9972996332122182,linear_spg_eta=0.03,Beta (hard),0,0
42,420000,0.5498872233976094,0.00011277660239062124,0.9976225687165985,linear_spg_eta=0.03,Beta (hard),0,0
43,430000,0.5498866037081127,0.00011339629188734118,0.9976097141130378,linear_spg_eta=0.03,Beta (hard),0,0
44,440000,0.5498969433663151,0.00010305663368491297,0.997826433844464,linear_spg_eta=0.03,Beta (hard),0,0
45,450000,0.5499033555415878,9.664445841226387e-05,0.9979607603080491,linear_spg_eta=0.03,Beta (hard),0,0
46,460000,0.5499105929040223,8.94070959776978e-05,0.9981138324168425,linear_spg_eta=0.03,Beta (hard),0,0
47,470000,0.5499161041395331,8.389586046699327e-05,0.9982306902152464,linear_spg_eta=0.03,Beta (hard),0,0
48,480000,0.5499088449045876,9.115509541241959e-05,0.9980787046628973,linear_spg_eta=0.03,Beta (hard),0,0
49,490000,0.5499052540179984,9.474598200165591e-05,0.9980024926121396,linear_spg_eta=0.03,Beta (hard),0,0
50,500000,0.5499042415468274,9.575845317257383e-05,0.9979832777594706,linear_spg_eta=0.03,Beta (hard),0,0
51,510000,0.549903842913738,9.615708626198109e-05,0.997975808819871,linear_spg_eta=0.03,Beta (hard),0,0
52,520000,0.5499073586576754,9.264134232465248e-05,0.9980496472876706,linear_spg_eta=0.03,Beta (hard),0,0
53,530000,0.5499121384876212,8.786151237881737e-05,0.9981496448635,linear_spg_eta=0.03,Beta (hard),0,0
54,540000,0.5499111428088556,8.885719114450956e-05,0.9981298594295578,linear_spg_eta=0.03,Beta (hard),0,0
55,550000,0.549916831664665,8.316833533505153e-05,0.998249287776049,linear_spg_eta=0.03,Beta (hard),0,0
56,560000,0.549910569965612,8.943003438800773e-05,0.99811808735964,linear_spg_eta=0.03,Beta (hard),0,0
57,570000,0.5499111280963079,8.887190369195259e-05,0.9981285148463384,linear_spg_eta=0.03,Beta (hard),0,0
58,580000,0.5499157664785309,8.423352146910678e-05,0.9982257345888002,linear_spg_eta=0.03,Beta (hard),0,0
59,590000,0.5499188387030629,8.116129693708828e-05,0.9982893519441728,linear_spg_eta=0.03,Beta (hard),0,0
60,600000,0.5499134794056536,8.652059434642492e-05,0.998176898381665,linear_spg_eta=0.03,Beta (hard),0,0
61,610000,0.5499175100548458,8.24899451542785e-05,0.998261062227089,linear_spg_eta=0.03,Beta (hard),0,0
62,620000,0.5499135848993767,8.641510062338018e-05,0.9981794514932507,linear_spg_eta=0.03,Beta (hard),0,0
63,630000,0.5499161004879661,8.389951203400274e-05,0.9982312402511626,linear_spg_eta=0.03,Beta (hard),0,0
