,iteration,expected_reward,sub_opt_gap,opt_action_pr,algo,env_name,instance_number,run_number
0,0,0.45823979428776745,0.5417602057122328,0.16666666666666666,linear_spg_eta=1000.0,Beta,0,0
1,10000,0.9999999216817027,7.83182972780713e-08,0.9999998434121479,linear_spg_eta=1000.0,Beta,0,0
2,20000,0.9999999607798615,3.922013842915997e-08,0.9999999215840673,linear_spg_eta=1000.0,Beta,0,0
3,30000,0.9999999738395284,2.6160471639650723e-08,0.9999999476952751,linear_spg_eta=1000.0,Beta,0,0
4,40000,0.9999999803744694,1.9625530678266512e-08,0.9999999607610968,linear_spg_eta=1000.0,Beta,0,0
5,50000,0.9999999842970785,1.5702921546921782e-08,0.9999999686038802,linear_spg_eta=1000.0,Beta,0,0
6,60000,0.9999999869128396,1.3087160332141386e-08,0.9999999738337799,linear_spg_eta=1000.0,Beta,0,0
7,70000,0.999999988781579,1.1218421040988002e-08,0.9999999775700997,linear_spg_eta=1000.0,Beta,0,0
8,80000,0.999999990183319,9.816680977752007e-09,0.999999980372711,linear_spg_eta=1000.0,Beta,0,0
9,90000,0.9999999912736713,8.726328586876009e-09,0.9999999825527403,linear_spg_eta=1000.0,Beta,0,0
10,100000,0.9999999921460229,7.853977086995627e-09,0.999999984296903,linear_spg_eta=1000.0,Beta,0,0
11,110000,0.9999999928598112,7.140188715776784e-09,0.9999999857240376,linear_spg_eta=1000.0,Beta,0,0
12,120000,0.9999999934546667,6.545333343309916e-09,0.99999998691338,linear_spg_eta=1000.0,Beta,0,0
13,130000,0.9999999939580283,6.041971726371816e-09,0.9999999879197917,linear_spg_eta=1000.0,Beta,0,0
14,140000,0.9999999943894978,5.610502135622904e-09,0.9999999887824637,linear_spg_eta=1000.0,Beta,0,0
15,150000,0.9999999947634503,5.23654971764148e-09,0.9999999895301371,linear_spg_eta=1000.0,Beta,0,0
16,160000,0.9999999950906681,4.909331951061482e-09,0.9999999901843702,linear_spg_eta=1000.0,Beta,0,0
17,170000,0.9999999953793971,4.62060289025266e-09,0.9999999907616496,linear_spg_eta=1000.0,Beta,0,0
18,180000,0.9999999956360509,4.36394914946027e-09,0.9999999912747982,linear_spg_eta=1000.0,Beta,0,0
