,iteration,expected_reward,sub_opt_gap,opt_action_pr,algo,env_name,instance_number,run_number
0,0,0.4958239794287767,0.0541760205712233,0.16666666666666666,linear_spg_eta=30.0,Gaussian (hard),0,0
1,10000,0.5499996241262678,3.7587373233950375e-07,0.999991904831963,linear_spg_eta=30.0,Gaussian (hard),0,0
2,20000,0.5499997879783273,2.1202167286222172e-07,0.9999954390869192,linear_spg_eta=30.0,Gaussian (hard),0,0
3,30000,0.5499998521421182,1.4785788165305464e-07,0.9999968216399703,linear_spg_eta=30.0,Gaussian (hard),0,0
4,40000,0.5499998864912713,1.1350872879694108e-07,0.9999975612712118,linear_spg_eta=30.0,Gaussian (hard),0,0
5,50000,0.5499999079565362,9.204346381128569e-08,0.9999980232463594,linear_spg_eta=30.0,Gaussian (hard),0,0
6,60000,0.5499999225869628,7.741303725773407e-08,0.999998337997406,linear_spg_eta=30.0,Gaussian (hard),0,0
7,70000,0.5499999331655615,6.683443852186817e-08,0.9999985655052389,linear_spg_eta=30.0,Gaussian (hard),0,0
8,80000,0.5499999412131001,5.878689984488459e-08,0.9999987385309458,linear_spg_eta=30.0,Gaussian (hard),0,0
9,90000,0.5499999475170426,5.248295723984402e-08,0.9999988740358213,linear_spg_eta=30.0,Gaussian (hard),0,0
10,100000,0.5499999526039228,4.7396077364363806e-08,0.9999989833563125,linear_spg_eta=30.0,Gaussian (hard),0,0
11,110000,0.5499999567800691,4.321993082358202e-08,0.999999073087423,linear_spg_eta=30.0,Gaussian (hard),0,0
12,120000,0.5499999602896806,3.971031939281163e-08,0.9999991484839824,linear_spg_eta=30.0,Gaussian (hard),0,0
13,130000,0.5499999632604756,3.673952452270373e-08,0.999999212295181,linear_spg_eta=30.0,Gaussian (hard),0,0
14,140000,0.5499999658240384,3.417596160867885e-08,0.9999992673512993,linear_spg_eta=30.0,Gaussian (hard),0,0
15,150000,0.5499999680513368,3.194866326425337e-08,0.9999993151792888,linear_spg_eta=30.0,Gaussian (hard),0,0
16,160000,0.5499999700062468,2.999375320742842e-08,0.99999935715293,linear_spg_eta=30.0,Gaussian (hard),0,0
17,170000,0.5499999717362692,2.8263730689176894e-08,0.9999993942937405,linear_spg_eta=30.0,Gaussian (hard),0,0
18,180000,0.5499999732771433,2.6722856591167366e-08,0.9999994273702515,linear_spg_eta=30.0,Gaussian (hard),0,0
19,190000,0.5499999746596071,2.5340392892376398e-08,0.9999994570432899,linear_spg_eta=30.0,Gaussian (hard),0,0
20,200000,0.5499993504559462,6.495440539076943e-07,0.9999865941794266,linear_spg_eta=30.0,Gaussian (hard),0,0
21,210000,0.5499997171990578,2.8280094210018133e-07,0.9999941496538064,linear_spg_eta=30.0,Gaussian (hard),0,0
22,220000,0.5499998191690096,1.8083099046507766e-07,0.9999962548700906,linear_spg_eta=30.0,Gaussian (hard),0,0
23,230000,0.5499998670326883,1.3296731173941362e-07,0.9999972441237278,linear_spg_eta=30.0,Gaussian (hard),0,0
24,240000,0.5499998948799268,1.0512007310401828e-07,0.9999978201006545,linear_spg_eta=30.0,Gaussian (hard),0,0
25,250000,0.5499999130795723,8.692042778473623e-08,0.9999981967413668,linear_spg_eta=30.0,Gaussian (hard),0,0
26,260000,0.5499999259495082,7.405049183911842e-08,0.9999984632022411,linear_spg_eta=30.0,Gaussian (hard),0,0
27,270000,0.5499999354643412,6.453565885255563e-08,0.999998660271103,linear_spg_eta=30.0,Gaussian (hard),0,0
28,280000,0.5499984866475363,1.513352463784475e-06,0.999965872404996,linear_spg_eta=30.0,Gaussian (hard),0,0
29,290000,0.5499996753890323,3.2461096777882647e-07,0.9999926886408379,linear_spg_eta=30.0,Gaussian (hard),0,0
