,iteration,expected_reward,sub_opt_gap,opt_action_pr,algo,env_name,instance_number,run_number
0,0,0.4932571182886492,0.051912298009164935,0.16666666666666666,spg_eta=1.0,Bernoulli (hard),0,0
1,10000,0.5037254677120229,0.04144394858579122,2.7626913059940277e-05,spg_eta=1.0,Bernoulli (hard),0,0
2,20000,0.5037344605227503,0.04143495577506381,0.0003919041831731446,spg_eta=1.0,Bernoulli (hard),0,0
3,30000,0.5037276392491338,0.04144177704868038,5.141150210600453e-05,spg_eta=1.0,Bernoulli (hard),0,0
4,40000,0.5037387399072752,0.04143067639053889,0.0004151168247772686,spg_eta=1.0,Bernoulli (hard),0,0
5,50000,0.5037283261904834,0.04144109010733082,5.6452384610605985e-05,spg_eta=1.0,Bernoulli (hard),0,0
6,60000,0.5037277315344364,0.04144168476337768,2.8964392758788684e-05,spg_eta=1.0,Bernoulli (hard),0,0
7,70000,0.5037275489841802,0.04144186731363394,1.9157191962450065e-05,spg_eta=1.0,Bernoulli (hard),0,0
8,80000,0.5037274696295002,0.04144194666831392,1.437969655291716e-05,spg_eta=1.0,Bernoulli (hard),0,0
9,90000,0.5037274361180729,0.041441980179741184,2.6167010177679827e-05,spg_eta=1.0,Bernoulli (hard),0,0
10,100000,0.5037273651562283,0.041442051141585876,1.619204014011999e-05,spg_eta=1.0,Bernoulli (hard),0,0
11,110000,0.5037273393613063,0.04144207693650783,1.1708825052137248e-05,spg_eta=1.0,Bernoulli (hard),0,0
12,120000,0.5037273275083294,0.04144208878948482,9.190463821573912e-06,spg_eta=1.0,Bernoulli (hard),0,0
13,130000,0.5037273214296196,0.041442094868194515,7.619290487396171e-06,spg_eta=1.0,Bernoulli (hard),0,0
14,140000,0.5037281165337191,0.04144129976409501,3.334824441171196e-05,spg_eta=1.0,Bernoulli (hard),0,0
15,150000,0.5037278039544951,0.04144161234331893,2.1952565157857805e-05,spg_eta=1.0,Bernoulli (hard),0,0
16,160000,0.5037276534099389,0.04144176288787525,1.613071026638027e-05,spg_eta=1.0,Bernoulli (hard),0,0
17,170000,0.5037275711133135,0.041441845184500704,1.2790182487385218e-05,spg_eta=1.0,Bernoulli (hard),0,0
18,180000,0.5037275178793151,0.04144189841849895,1.0538652342155024e-05,spg_eta=1.0,Bernoulli (hard),0,0
19,190000,0.5037274820399086,0.041441934257905585,8.9663286556584e-06,spg_eta=1.0,Bernoulli (hard),0,0
