,iteration,expected_reward,sub_opt_gap,opt_action_pr,algo,env_name,instance_number,run_number
0,0,0.4662855914432459,0.2595614900458245,0.16666666666666666,spg_eta=0.1,Beta (easy),0,0
1,10000,0.7250340096589454,0.0008130718301250018,0.9972640516780604,spg_eta=0.1,Beta (easy),0,0
2,20000,0.7254664644427962,0.00038061704627423724,0.9987200777448689,spg_eta=0.1,Beta (easy),0,0
3,30000,0.7256135124145702,0.0002335690745002096,0.9992094863506971,spg_eta=0.1,Beta (easy),0,0
4,40000,0.7256269603098239,0.00022012117924653785,0.9992623574484503,spg_eta=0.1,Beta (easy),0,0
5,50000,0.7256920284292334,0.00015505305983694887,0.9994810696955679,spg_eta=0.1,Beta (easy),0,0
6,60000,0.7257156300675804,0.00013145142149000643,0.9995595551505991,spg_eta=0.1,Beta (easy),0,0
7,70000,0.7257408180311669,0.00010626345790357889,0.9996459351953673,spg_eta=0.1,Beta (easy),0,0
8,80000,0.7257553733491818,9.170813988854198e-05,0.999696976695718,spg_eta=0.1,Beta (easy),0,0
9,90000,0.7257657162055923,8.13652834781587e-05,0.9997295109970309,spg_eta=0.1,Beta (easy),0,0
10,100000,0.7257812267283303,6.585476074003985e-05,0.9997813673388803,spg_eta=0.1,Beta (easy),0,0
11,110000,0.7257863873922684,6.069409680197127e-05,0.9997988588586625,spg_eta=0.1,Beta (easy),0,0
12,120000,0.7257885206118919,5.856087717845037e-05,0.9998047595683817,spg_eta=0.1,Beta (easy),0,0
13,130000,0.7257954768951078,5.160459396255942e-05,0.9998284230728963,spg_eta=0.1,Beta (easy),0,0
14,140000,0.7257980253007502,4.9056188320163126e-05,0.9998362574182703,spg_eta=0.1,Beta (easy),0,0
15,150000,0.7258016868369385,4.539465213194644e-05,0.9998481214880706,spg_eta=0.1,Beta (easy),0,0
16,160000,0.7258069965887275,4.008490034293987e-05,0.999866014039842,spg_eta=0.1,Beta (easy),0,0
17,170000,0.7258073582413133,3.972324775713443e-05,0.9998664573885235,spg_eta=0.1,Beta (easy),0,0
18,180000,0.7258099587527239,3.712273634649327e-05,0.9998753682501318,spg_eta=0.1,Beta (easy),0,0
19,190000,0.7258074825356898,3.959895338062398e-05,0.9998661457761595,spg_eta=0.1,Beta (easy),0,0
20,200000,0.7258093521440512,3.7729345019166365e-05,0.9998730413881647,spg_eta=0.1,Beta (easy),0,0
21,210000,0.7258095543341813,3.7527154889170244e-05,0.9998740659591286,spg_eta=0.1,Beta (easy),0,0
22,220000,0.7258132716302662,3.380985880422259e-05,0.9998866355320902,spg_eta=0.1,Beta (easy),0,0
23,230000,0.7258152723261576,3.1809162912742595e-05,0.9998933583689343,spg_eta=0.1,Beta (easy),0,0
24,240000,0.7258179609819352,2.9120507135249863e-05,0.9999024398324146,spg_eta=0.1,Beta (easy),0,0
25,250000,0.7258163428253053,3.073866376513359e-05,0.9998961654220633,spg_eta=0.1,Beta (easy),0,0
26,260000,0.7258188893369126,2.8192152157716782e-05,0.9999048436045751,spg_eta=0.1,Beta (easy),0,0
27,270000,0.7258210505201411,2.603096892927802e-05,0.9999122019594578,spg_eta=0.1,Beta (easy),0,0
28,280000,0.7258178676794755,2.92138095948632e-05,0.9999014732311902,spg_eta=0.1,Beta (easy),0,0
29,290000,0.725820169259167,2.6912229903356507e-05,0.9999093026690555,spg_eta=0.1,Beta (easy),0,0
30,300000,0.7258189509095222,2.8130579548198884e-05,0.9999046109387268,spg_eta=0.1,Beta (easy),0,0
31,310000,0.7258163143814809,3.076710758949964e-05,0.9998953372123861,spg_eta=0.1,Beta (easy),0,0
32,320000,0.7258182270305328,2.885445853759644e-05,0.9999020592767356,spg_eta=0.1,Beta (easy),0,0
33,330000,0.7258204915872061,2.6589901864295232e-05,0.9999098217695914,spg_eta=0.1,Beta (easy),0,0
34,340000,0.7258202186050731,2.686288399734987e-05,0.9999085692372983,spg_eta=0.1,Beta (easy),0,0
35,350000,0.7258214939438487,2.5587545221782636e-05,0.9999128132086831,spg_eta=0.1,Beta (easy),0,0
36,360000,0.7258216020500002,2.5479439070132348e-05,0.9999135878578866,spg_eta=0.1,Beta (easy),0,0
37,370000,0.7258233877089282,2.369378014222168e-05,0.9999197027243965,spg_eta=0.1,Beta (easy),0,0
38,380000,0.7258232055176208,2.387597144954123e-05,0.999918919596977,spg_eta=0.1,Beta (easy),0,0
39,390000,0.7258247818602986,2.229962877179173e-05,0.9999243262031707,spg_eta=0.1,Beta (easy),0,0
40,400000,0.7258261552144232,2.0926274647246968e-05,0.9999290327888587,spg_eta=0.1,Beta (easy),0,0
41,410000,0.725825278341063,2.180314800732961e-05,0.9999259294752622,spg_eta=0.1,Beta (easy),0,0
42,420000,0.725826594992543,2.0486496527378986e-05,0.9999304475645484,spg_eta=0.1,Beta (easy),0,0
43,430000,0.7258259577748573,2.1123714213177238e-05,0.999928083914617,spg_eta=0.1,Beta (easy),0,0
44,440000,0.725825837711763,2.1243777307353225e-05,0.999927376202898,spg_eta=0.1,Beta (easy),0,0
45,450000,0.7258258526498451,2.122883922525094e-05,0.9999271651095943,spg_eta=0.1,Beta (easy),0,0
46,460000,0.725827125795762,1.9955693308339234e-05,0.9999315872181526,spg_eta=0.1,Beta (easy),0,0
47,470000,0.7258282466146133,1.8834874457086653e-05,0.9999354766736904,spg_eta=0.1,Beta (easy),0,0
48,480000,0.7258275531828303,1.9528306240048402e-05,0.9999328715009544,spg_eta=0.1,Beta (easy),0,0
