,iteration,expected_reward,sub_opt_gap,opt_action_pr,algo,env_name,instance_number,run_number
0,0,0.4932571182886492,0.051912298009164935,0.16666666666666666,spg_eta=0.1,Beta (hard),0,0
1,10000,0.5442740482067882,0.0008953680910259294,0.9856950006278132,spg_eta=0.1,Beta (hard),0,0
2,20000,0.5447751688132098,0.00039424748460438176,0.9935822955036512,spg_eta=0.1,Beta (hard),0,0
3,30000,0.5448830135630877,0.0002864027347264523,0.9952122009456776,spg_eta=0.1,Beta (hard),0,0
4,40000,0.5449887686667785,0.0001806476310356569,0.9970075223017099,spg_eta=0.1,Beta (hard),0,0
5,50000,0.5450555548852855,0.00011386141252862043,0.9981157699656427,spg_eta=0.1,Beta (hard),0,0
6,60000,0.545062308150999,0.00010710814681513194,0.9982108478315156,spg_eta=0.1,Beta (hard),0,0
7,70000,0.5450365195332958,0.0001328967645183056,0.9977489175408338,spg_eta=0.1,Beta (hard),0,0
8,80000,0.5449777880752305,0.00019162822258370977,0.9966937682077801,spg_eta=0.1,Beta (hard),0,0
9,90000,0.5450172806122764,0.00015213568553769613,0.9974162188953793,spg_eta=0.1,Beta (hard),0,0
10,100000,0.5450694323831394,9.998391467473207e-05,0.9982926192549263,spg_eta=0.1,Beta (hard),0,0
11,110000,0.5450835775941277,8.583870368636416e-05,0.9985355162622751,spg_eta=0.1,Beta (hard),0,0
12,120000,0.5451063145260124,6.310177180169012e-05,0.9989171328163471,spg_eta=0.1,Beta (hard),0,0
13,130000,0.5451116760218021,5.774027601204881e-05,0.9990252043283429,spg_eta=0.1,Beta (hard),0,0
14,140000,0.5451032766150276,6.613968278660808e-05,0.9988817045645545,spg_eta=0.1,Beta (hard),0,0
15,150000,0.5451190414262194,5.037487159470789e-05,0.9991557368056214,spg_eta=0.1,Beta (hard),0,0
16,160000,0.5451221644016825,4.72518961316468e-05,0.999209309876905,spg_eta=0.1,Beta (hard),0,0
17,170000,0.5451230552701487,4.636102766541288e-05,0.9992115869396423,spg_eta=0.1,Beta (hard),0,0
18,180000,0.54511550370207,5.391259574416868e-05,0.9990910323737199,spg_eta=0.1,Beta (hard),0,0
19,190000,0.5451179863718761,5.1429925938027e-05,0.9991181626470705,spg_eta=0.1,Beta (hard),0,0
20,200000,0.5451028559727442,6.656032506988816e-05,0.9988514370674025,spg_eta=0.1,Beta (hard),0,0
21,210000,0.5451063859778373,6.303031997682528e-05,0.9989176560966117,spg_eta=0.1,Beta (hard),0,0
22,220000,0.5451253492141314,4.406708368281806e-05,0.9992532180288531,spg_eta=0.1,Beta (hard),0,0
23,230000,0.5451268694077013,4.2546890112842587e-05,0.9992714490457681,spg_eta=0.1,Beta (hard),0,0
24,240000,0.5451267830889368,4.263320887733898e-05,0.9992583722288602,spg_eta=0.1,Beta (hard),0,0
25,250000,0.5451233773582145,4.6038939599679625e-05,0.9991992358800191,spg_eta=0.1,Beta (hard),0,0
26,260000,0.5451348919098751,3.452438793903573e-05,0.9994054321264793,spg_eta=0.1,Beta (hard),0,0
27,270000,0.5451381175708875,3.129872692667263e-05,0.9994574875285207,spg_eta=0.1,Beta (hard),0,0
28,280000,0.5451344539014481,3.496239636606091e-05,0.9993949795901269,spg_eta=0.1,Beta (hard),0,0
29,290000,0.545136563859266,3.285243854814405e-05,0.9994333133774416,spg_eta=0.1,Beta (hard),0,0
30,300000,0.5451431189074979,2.6297390316247167e-05,0.9995458801492972,spg_eta=0.1,Beta (hard),0,0
31,310000,0.5451412248279234,2.819146989079665e-05,0.9995100106658741,spg_eta=0.1,Beta (hard),0,0
32,320000,0.5451439534598681,2.546283794603756e-05,0.9995588613033876,spg_eta=0.1,Beta (hard),0,0
33,330000,0.5451428865806697,2.6529717144412864e-05,0.9995367861514489,spg_eta=0.1,Beta (hard),0,0
34,340000,0.5451410796408621,2.8336656952012275e-05,0.9994997341008508,spg_eta=0.1,Beta (hard),0,0
35,350000,0.5451408175163187,2.859878149540366e-05,0.999501280997545,spg_eta=0.1,Beta (hard),0,0
36,360000,0.5451411236585022,2.829263931194621e-05,0.9995088495583646,spg_eta=0.1,Beta (hard),0,0
37,370000,0.5451455209709388,2.3895326875349807e-05,0.9995886351301819,spg_eta=0.1,Beta (hard),0,0
38,380000,0.5451460870431176,2.332925469647573e-05,0.9995994008215509,spg_eta=0.1,Beta (hard),0,0
39,390000,0.5451487334272883,2.0682870525758134e-05,0.9996485786900445,spg_eta=0.1,Beta (hard),0,0
40,400000,0.5451501698865292,1.9246411284950546e-05,0.999670491674981,spg_eta=0.1,Beta (hard),0,0
41,410000,0.5451503940998956,1.9022197918472344e-05,0.999673062655842,spg_eta=0.1,Beta (hard),0,0
42,420000,0.5451535994289407,1.5816868873370478e-05,0.9997289701783264,spg_eta=0.1,Beta (hard),0,0
43,430000,0.545149446585344,1.9969712470066676e-05,0.9996607756135506,spg_eta=0.1,Beta (hard),0,0
44,440000,0.5451499248591561,1.949143865801531e-05,0.999670636029849,spg_eta=0.1,Beta (hard),0,0
