,iteration,expected_reward,sub_opt_gap,opt_action_pr,algo,env_name,instance_number,run_number
0,0,0.4662855914432459,0.2595614900458245,0.16666666666666666,spg_eta=0.3,Fixed (easy),0,0
1,10000,0.7256342754034538,0.00021280608561655362,0.9992920252698603,spg_eta=0.3,Fixed (easy),0,0
2,20000,0.725750798087028,9.628340204233441e-05,0.99967686421474,spg_eta=0.3,Fixed (easy),0,0
3,30000,0.7257898706997499,5.721078932057974e-05,0.9998100590460948,spg_eta=0.3,Fixed (easy),0,0
4,40000,0.7257904599041793,5.662158489106991e-05,0.9998101165147285,spg_eta=0.3,Fixed (easy),0,0
5,50000,0.7257973381783499,4.974331072044276e-05,0.9998332844531659,spg_eta=0.3,Fixed (easy),0,0
6,60000,0.7257965944606006,5.048702846972741e-05,0.9998264970529425,spg_eta=0.3,Fixed (easy),0,0
7,70000,0.7257939332943346,5.3148194735809096e-05,0.9998199888743959,spg_eta=0.3,Fixed (easy),0,0
8,80000,0.7258110126326228,3.606885644756843e-05,0.999878260892445,spg_eta=0.3,Fixed (easy),0,0
9,90000,0.7258147864222506,3.2295066819808545e-05,0.9998900837415352,spg_eta=0.3,Fixed (easy),0,0
10,100000,0.7258220399841605,2.504150490988993e-05,0.9999150021610225,spg_eta=0.3,Fixed (easy),0,0
11,110000,0.7258196039427967,2.74775462737698e-05,0.9999065728362411,spg_eta=0.3,Fixed (easy),0,0
12,120000,0.7258250500493013,2.2031439769102596e-05,0.9999252697549972,spg_eta=0.3,Fixed (easy),0,0
13,130000,0.7258286842441063,1.8397244964058888e-05,0.999937713395414,spg_eta=0.3,Fixed (easy),0,0
14,140000,0.7258312833775615,1.5798111508829595e-05,0.9999465944056777,spg_eta=0.3,Fixed (easy),0,0
15,150000,0.7258307481956866,1.633329338379073e-05,0.9999442271161738,spg_eta=0.3,Fixed (easy),0,0
16,160000,0.7258328517343703,1.4229754700088167e-05,0.9999514933283735,spg_eta=0.3,Fixed (easy),0,0
17,170000,0.7258344716159651,1.2609873105297343e-05,0.9999570777980193,spg_eta=0.3,Fixed (easy),0,0
18,180000,0.7258321560441402,1.4925444930243118e-05,0.9999494156848956,spg_eta=0.3,Fixed (easy),0,0
