,iteration,expected_reward,sub_opt_gap,opt_action_pr,algo,env_name,instance_number,run_number
0,0,0.4932571182886492,0.051912298009164935,0.16666666666666666,spg_eta=0.3,Fixed (hard),0,0
1,10000,0.5449177866521553,0.00025162964565885403,0.9961398415852797,spg_eta=0.3,Fixed (hard),0,0
2,20000,0.5450596163671344,0.00010979993067975377,0.9982764853272357,spg_eta=0.3,Fixed (hard),0,0
3,30000,0.5450868602640369,8.255603377722818e-05,0.9985995033972948,spg_eta=0.3,Fixed (hard),0,0
4,40000,0.5450771551271233,9.22611706908095e-05,0.9984732402350291,spg_eta=0.3,Fixed (hard),0,0
5,50000,0.5451325426884442,3.687360936983965e-05,0.9993989482586523,spg_eta=0.3,Fixed (hard),0,0
6,60000,0.5451203633010604,4.905299675374017e-05,0.9991961847258992,spg_eta=0.3,Fixed (hard),0,0
7,70000,0.5451355885488672,3.382774894688379e-05,0.9994622100768125,spg_eta=0.3,Fixed (hard),0,0
8,80000,0.545141911788519,2.7504509295160057e-05,0.999568463081886,spg_eta=0.3,Fixed (hard),0,0
9,90000,0.545134997475223,3.4418822591159456e-05,0.9994334449939872,spg_eta=0.3,Fixed (hard),0,0
10,100000,0.5451486332431534,2.0783054660675513e-05,0.9996498169036117,spg_eta=0.3,Fixed (hard),0,0
11,110000,0.5451475377438646,2.187855394952781e-05,0.9996440709164395,spg_eta=0.3,Fixed (hard),0,0
12,120000,0.5451531143700205,1.6301927793623435e-05,0.9997320845335744,spg_eta=0.3,Fixed (hard),0,0
13,130000,0.5451571627802348,1.225351757926084e-05,0.9998007384852629,spg_eta=0.3,Fixed (hard),0,0
14,140000,0.5451576658391455,1.1750458668659442e-05,0.9998051169287673,spg_eta=0.3,Fixed (hard),0,0
15,150000,0.545159802233161,9.614064653124242e-06,0.9998396767516189,spg_eta=0.3,Fixed (hard),0,0
16,160000,0.5451621283513635,7.2879464506930625e-06,0.9998787009627607,spg_eta=0.3,Fixed (hard),0,0
17,170000,0.5451625684702834,6.847827530645303e-06,0.9998846983096664,spg_eta=0.3,Fixed (hard),0,0
18,180000,0.5451618684201158,7.547877698315581e-06,0.9998733909834164,spg_eta=0.3,Fixed (hard),0,0
19,190000,0.5451599173127019,9.498985112301958e-06,0.9998391763747935,spg_eta=0.3,Fixed (hard),0,0
20,200000,0.5451610521597101,8.36413810401343e-06,0.9998602409354681,spg_eta=0.3,Fixed (hard),0,0
21,210000,0.5451590365744652,1.037972334895377e-05,0.9998265669589839,spg_eta=0.3,Fixed (hard),0,0
22,220000,0.5451590639931441,1.035230467001975e-05,0.9998313316138949,spg_eta=0.3,Fixed (hard),0,0
23,230000,0.5451547869268856,1.4629370928594272e-05,0.999766032214841,spg_eta=0.3,Fixed (hard),0,0
24,240000,0.5451594713615141,9.944936299987818e-06,0.999840736727819,spg_eta=0.3,Fixed (hard),0,0
25,250000,0.5451575448495194,1.1871448294692499e-05,0.9998071209147007,spg_eta=0.3,Fixed (hard),0,0
26,260000,0.5451592397469994,1.0176550814730748e-05,0.9998368515921269,spg_eta=0.3,Fixed (hard),0,0
27,270000,0.5451589522082286,1.0464089585509607e-05,0.9998319894997317,spg_eta=0.3,Fixed (hard),0,0
28,280000,0.5451463171870254,2.309911078869377e-05,0.9996218318416512,spg_eta=0.3,Fixed (hard),0,0
29,290000,0.5451522441839005,1.7172113913561832e-05,0.9997167255615783,spg_eta=0.3,Fixed (hard),0,0
30,300000,0.5451557389319611,1.367736585296703e-05,0.9997706125070408,spg_eta=0.3,Fixed (hard),0,0
31,310000,0.5451466043391954,2.281195861879734e-05,0.9996079995493432,spg_eta=0.3,Fixed (hard),0,0
32,320000,0.545152088976925,1.732732088914097e-05,0.9997132356700166,spg_eta=0.3,Fixed (hard),0,0
33,330000,0.5451478286366312,2.158766118292433e-05,0.99963144796668,spg_eta=0.3,Fixed (hard),0,0
34,340000,0.5451470995325228,2.2316765291328143e-05,0.9996055248170421,spg_eta=0.3,Fixed (hard),0,0
35,350000,0.5451486536416755,2.0762656138607973e-05,0.9996472568383089,spg_eta=0.3,Fixed (hard),0,0
36,360000,0.5451479196795607,2.1496618253436757e-05,0.9996469794966426,spg_eta=0.3,Fixed (hard),0,0
37,370000,0.5451530641930301,1.635210478402608e-05,0.999731453546624,spg_eta=0.3,Fixed (hard),0,0
38,380000,0.5451499146734684,1.95016243457533e-05,0.9996773310598032,spg_eta=0.3,Fixed (hard),0,0
39,390000,0.5451545066001912,1.490969762295944e-05,0.9997583918256234,spg_eta=0.3,Fixed (hard),0,0
40,400000,0.5451594517635886,9.964534225516594e-06,0.999838524970936,spg_eta=0.3,Fixed (hard),0,0
41,410000,0.5451546489505948,1.476734721928721e-05,0.9997529081062662,spg_eta=0.3,Fixed (hard),0,0
42,420000,0.5451596135837042,9.802714109874177e-06,0.9998366500730386,spg_eta=0.3,Fixed (hard),0,0
43,430000,0.545159732327405,9.68397040907931e-06,0.9998374875462437,spg_eta=0.3,Fixed (hard),0,0
44,440000,0.5451610323399768,8.383957837363025e-06,0.9998575605928797,spg_eta=0.3,Fixed (hard),0,0
45,450000,0.5451601947649177,9.221532896368834e-06,0.999843366584303,spg_eta=0.3,Fixed (hard),0,0
46,460000,0.5451624363744534,6.979923360782657e-06,0.9998819880642565,spg_eta=0.3,Fixed (hard),0,0
