,iteration,expected_reward,sub_opt_gap,opt_action_pr,algo,env_name,instance_number,run_number
0,0,0.4662855914432459,0.2595614900458245,0.16666666666666666,spg_eta=0.03,Gaussian (easy),0,0
1,10000,0.7227262915250948,0.003120789963975535,0.989395542667001,spg_eta=0.03,Gaussian (easy),0,0
2,20000,0.7244406202778284,0.001406461211241959,0.995205151919653,spg_eta=0.03,Gaussian (easy),0,0
3,30000,0.7248572987726615,0.00098978271640898,0.9965997487555719,spg_eta=0.03,Gaussian (easy),0,0
4,40000,0.7250991572381664,0.0007479242509040202,0.9974275051615629,spg_eta=0.03,Gaussian (easy),0,0
5,50000,0.7253183484517182,0.0005287330373522734,0.9981799766206019,spg_eta=0.03,Gaussian (easy),0,0
6,60000,0.7253998667212894,0.000447214767780949,0.9984555545828521,spg_eta=0.03,Gaussian (easy),0,0
7,70000,0.725453974364409,0.0003931071246614091,0.998639688033211,spg_eta=0.03,Gaussian (easy),0,0
8,80000,0.7254841582973425,0.0003629231917279412,0.9987469714837278,spg_eta=0.03,Gaussian (easy),0,0
9,90000,0.725523692366206,0.00032338912286443536,0.9988839806644679,spg_eta=0.03,Gaussian (easy),0,0
10,100000,0.7255610639463641,0.00028601754270629273,0.9990111902772034,spg_eta=0.03,Gaussian (easy),0,0
11,110000,0.7255854223216138,0.0002616591674565525,0.9990937403063578,spg_eta=0.03,Gaussian (easy),0,0
12,120000,0.7256181172441838,0.0002289642448865785,0.9992068162682547,spg_eta=0.03,Gaussian (easy),0,0
13,130000,0.7256449245834967,0.00020215690557366748,0.9993001405830395,spg_eta=0.03,Gaussian (easy),0,0
14,140000,0.7256559290545865,0.00019115243448381187,0.999337086889267,spg_eta=0.03,Gaussian (easy),0,0
15,150000,0.7256701641148341,0.00017691737423627032,0.9993881288136824,spg_eta=0.03,Gaussian (easy),0,0
16,160000,0.7256827611818623,0.00016432030720812387,0.999432250599741,spg_eta=0.03,Gaussian (easy),0,0
17,170000,0.7256922598236124,0.00015482166545802457,0.9994633987460335,spg_eta=0.03,Gaussian (easy),0,0
18,180000,0.7256976906054508,0.00014939088361963683,0.9994824460416296,spg_eta=0.03,Gaussian (easy),0,0
19,190000,0.7257015738874724,0.00014550760159808766,0.999494526497491,spg_eta=0.03,Gaussian (easy),0,0
20,200000,0.7257083659665255,0.00013871552254481577,0.9995174276245251,spg_eta=0.03,Gaussian (easy),0,0
21,210000,0.7257168392106199,0.00013024227845050625,0.9995474090087104,spg_eta=0.03,Gaussian (easy),0,0
22,220000,0.7257253906625892,0.000121690826481219,0.9995778507865783,spg_eta=0.03,Gaussian (easy),0,0
23,230000,0.7257272597692717,0.00011982171979876262,0.9995845684535145,spg_eta=0.03,Gaussian (easy),0,0
24,240000,0.725735691835392,0.00011138965367839668,0.9996138237429362,spg_eta=0.03,Gaussian (easy),0,0
25,250000,0.7257399660893755,0.00010711539969482474,0.9996288626900524,spg_eta=0.03,Gaussian (easy),0,0
26,260000,0.7257482637697026,9.881771936786906e-05,0.9996582675072161,spg_eta=0.03,Gaussian (easy),0,0
27,270000,0.7257498002470433,9.728124202716096e-05,0.9996628926297161,spg_eta=0.03,Gaussian (easy),0,0
28,280000,0.7257489367665618,9.814472250857036e-05,0.9996596614732464,spg_eta=0.03,Gaussian (easy),0,0
29,290000,0.7257546165133285,9.246497574192229e-05,0.9996794038477872,spg_eta=0.03,Gaussian (easy),0,0
30,300000,0.7257594862154364,8.759527363404754e-05,0.9996961393039857,spg_eta=0.03,Gaussian (easy),0,0
31,310000,0.7257588937925831,8.81876964872977e-05,0.999693850695406,spg_eta=0.03,Gaussian (easy),0,0
32,320000,0.7257622990317186,8.478245735179127e-05,0.9997064123910796,spg_eta=0.03,Gaussian (easy),0,0
33,330000,0.7257628271811799,8.42543078904964e-05,0.9997078273921324,spg_eta=0.03,Gaussian (easy),0,0
34,340000,0.7257635407510934,8.354073797698119e-05,0.9997096341452323,spg_eta=0.03,Gaussian (easy),0,0
35,350000,0.7257669355821771,8.014590689336349e-05,0.9997215859790887,spg_eta=0.03,Gaussian (easy),0,0
36,360000,0.7257700487865978,7.703270247263586e-05,0.9997326207011075,spg_eta=0.03,Gaussian (easy),0,0
37,370000,0.7257727158045804,7.436568449005655e-05,0.9997420420013334,spg_eta=0.03,Gaussian (easy),0,0
38,380000,0.7257740215561193,7.305993295118802e-05,0.9997464073245439,spg_eta=0.03,Gaussian (easy),0,0
39,390000,0.725777605858461,6.947563060947238e-05,0.999759233641306,spg_eta=0.03,Gaussian (easy),0,0
40,400000,0.7257817303297494,6.535115932103975e-05,0.9997737250702214,spg_eta=0.03,Gaussian (easy),0,0
41,410000,0.7257801657550375,6.691573403292713e-05,0.9997674966342953,spg_eta=0.03,Gaussian (easy),0,0
42,420000,0.7257840009227958,6.308056627454222e-05,0.9997810156889351,spg_eta=0.03,Gaussian (easy),0,0
43,430000,0.7257819600378316,6.512145123880103e-05,0.9997742694017905,spg_eta=0.03,Gaussian (easy),0,0
44,440000,0.7257845306462293,6.255084284116514e-05,0.9997830832349374,spg_eta=0.03,Gaussian (easy),0,0
45,450000,0.725785666058808,6.141543026234963e-05,0.9997870996695237,spg_eta=0.03,Gaussian (easy),0,0
46,460000,0.7257872629293157,5.981855975472598e-05,0.9997930718370357,spg_eta=0.03,Gaussian (easy),0,0
47,470000,0.725788568069253,5.851341981744128e-05,0.9997976594157623,spg_eta=0.03,Gaussian (easy),0,0
48,480000,0.7257863601222216,6.072136684871125e-05,0.9997895538086014,spg_eta=0.03,Gaussian (easy),0,0
49,490000,0.7257856255412296,6.145594784077108e-05,0.9997865239338984,spg_eta=0.03,Gaussian (easy),0,0
50,500000,0.7257852917207924,6.178976827801617e-05,0.9997852250027646,spg_eta=0.03,Gaussian (easy),0,0
51,510000,0.725785926806516,6.115468255445697e-05,0.999787754409296,spg_eta=0.03,Gaussian (easy),0,0
52,520000,0.7257891453096904,5.793617937995978e-05,0.9997990865040951,spg_eta=0.03,Gaussian (easy),0,0
53,530000,0.7257910527802619,5.6028708808472656e-05,0.9998055957243449,spg_eta=0.03,Gaussian (easy),0,0
54,540000,0.7257930717545585,5.400973451188723e-05,0.9998127790156021,spg_eta=0.03,Gaussian (easy),0,0
55,550000,0.7257949771661182,5.2104322952173374e-05,0.9998195445819584,spg_eta=0.03,Gaussian (easy),0,0
56,560000,0.7257967313302213,5.0350158849091125e-05,0.9998258490208122,spg_eta=0.03,Gaussian (easy),0,0
57,570000,0.7257961606740858,5.092081498463207e-05,0.9998232653814179,spg_eta=0.03,Gaussian (easy),0,0
58,580000,0.7257979676107463,4.9113878324080874e-05,0.9998297257999521,spg_eta=0.03,Gaussian (easy),0,0
59,590000,0.7257995235819154,4.755790715500015e-05,0.9998353147773543,spg_eta=0.03,Gaussian (easy),0,0
60,600000,0.7257995068161336,4.757467293684662e-05,0.9998352113653837,spg_eta=0.03,Gaussian (easy),0,0
61,610000,0.7258006508948113,4.643059425911341e-05,0.999839059131334,spg_eta=0.03,Gaussian (easy),0,0
62,620000,0.7257996735614637,4.7407927606722766e-05,0.9998353373815246,spg_eta=0.03,Gaussian (easy),0,0
