,iteration,expected_reward,sub_opt_gap,opt_action_pr,algo,env_name,instance_number,run_number
0,0,0.4932571182886492,0.051912298009164935,0.16666666666666666,spg_eta=1.0,Gaussian (hard),0,0
1,10000,0.5037088065096834,0.04146060978813073,9.403415416983445e-05,spg_eta=1.0,Gaussian (hard),0,0
2,20000,0.5037165561097836,0.041452860188030516,0.0001838596384961093,spg_eta=1.0,Gaussian (hard),0,0
3,30000,0.503719014925345,0.041450401372469144,5.609552520511071e-05,spg_eta=1.0,Gaussian (hard),0,0
4,40000,0.5035387433377138,0.04163067296010042,0.002604786070815312,spg_eta=1.0,Gaussian (hard),0,0
5,50000,0.5451353765878532,3.403970996100127e-05,0.9993925312325352,spg_eta=1.0,Gaussian (hard),0,0
6,60000,0.5451589032224846,1.0513075329562408e-05,0.9998072163438106,spg_eta=1.0,Gaussian (hard),0,0
7,70000,0.5451517953271283,1.7620970685822866e-05,0.999711585995277,spg_eta=1.0,Gaussian (hard),0,0
8,80000,0.5451634506177715,5.96568004260705e-06,0.9999022601828137,spg_eta=1.0,Gaussian (hard),0,0
9,90000,0.5451636588066027,5.757491211509793e-06,0.9999025049132659,spg_eta=1.0,Gaussian (hard),0,0
10,100000,0.545165941076405,3.4752214091284752e-06,0.9999413985915484,spg_eta=1.0,Gaussian (hard),0,0
11,110000,0.5451620927678757,7.323529938404515e-06,0.9998762102258184,spg_eta=1.0,Gaussian (hard),0,0
12,120000,0.54516545686978,3.959428034147509e-06,0.9999334301844807,spg_eta=1.0,Gaussian (hard),0,0
13,130000,0.5451666969235608,2.7193742533590927e-06,0.9999544103959723,spg_eta=1.0,Gaussian (hard),0,0
14,140000,0.5451673418547327,2.074443081376325e-06,0.9999652891262883,spg_eta=1.0,Gaussian (hard),0,0
15,150000,0.5451664213148859,2.994982928166603e-06,0.9999474490102063,spg_eta=1.0,Gaussian (hard),0,0
16,160000,0.5451672230197445,2.193278069592851e-06,0.9999617643401939,spg_eta=1.0,Gaussian (hard),0,0
17,170000,0.545167681332166,1.734965648097166e-06,0.9999698900872662,spg_eta=1.0,Gaussian (hard),0,0
18,180000,0.5451671980944421,2.2182033719552057e-06,0.9999617546101444,spg_eta=1.0,Gaussian (hard),0,0
19,190000,0.5451676564764705,1.759821343648517e-06,0.9999697733651337,spg_eta=1.0,Gaussian (hard),0,0
20,200000,0.54516795560785,1.4606899640466347e-06,0.9999749836015126,spg_eta=1.0,Gaussian (hard),0,0
21,210000,0.5451681674882599,1.2488095541636679e-06,0.9999786617460221,spg_eta=1.0,Gaussian (hard),0,0
22,220000,0.5451683248093465,1.0914884676350185e-06,0.9999813853601662,spg_eta=1.0,Gaussian (hard),0,0
23,230000,0.5451684467462449,9.695515692663937e-07,0.999983491615056,spg_eta=1.0,Gaussian (hard),0,0
24,240000,0.545168543998584,8.722992300938397e-07,0.9999851682407862,spg_eta=1.0,Gaussian (hard),0,0
25,250000,0.5451686232957104,7.930021037287524e-07,0.9999865330254627,spg_eta=1.0,Gaussian (hard),0,0
26,260000,0.5451686892364718,7.270613423502986e-07,0.9999876662563233,spg_eta=1.0,Gaussian (hard),0,0
27,270000,0.545168744751811,6.715460031047932e-07,0.9999886190658366,spg_eta=1.0,Gaussian (hard),0,0
28,280000,0.5451683601565576,1.0561412565197423e-06,0.9999825831167735,spg_eta=1.0,Gaussian (hard),0,0
29,290000,0.5451684703248498,9.45972964288616e-07,0.9999844138164246,spg_eta=1.0,Gaussian (hard),0,0
30,300000,0.5451685594892478,8.568085662830433e-07,0.9999858938166809,spg_eta=1.0,Gaussian (hard),0,0
31,310000,0.5451676107694415,1.8055283725755406e-06,0.9999701837752715,spg_eta=1.0,Gaussian (hard),0,0
32,320000,0.5451665930155633,2.8232822508752463e-06,0.9999554211661356,spg_eta=1.0,Gaussian (hard),0,0
33,330000,0.5451672508483941,2.1654494199862537e-06,0.9999657518536924,spg_eta=1.0,Gaussian (hard),0,0
34,340000,0.5451676581416466,1.758156167593607e-06,0.999972160454447,spg_eta=1.0,Gaussian (hard),0,0
35,350000,0.545167936923214,1.4793746001534112e-06,0.9999765532948885,spg_eta=1.0,Gaussian (hard),0,0
36,360000,0.5451660093870847,3.406910729452839e-06,0.9999495421085927,spg_eta=1.0,Gaussian (hard),0,0
37,370000,0.5451669242224881,2.4920753260172108e-06,0.9999628376743447,spg_eta=1.0,Gaussian (hard),0,0
38,380000,0.5451674499101241,1.966387690025589e-06,0.9999705342287053,spg_eta=1.0,Gaussian (hard),0,0
39,390000,0.5451677912721821,1.6250256320145047e-06,0.9999755592521195,spg_eta=1.0,Gaussian (hard),0,0
40,400000,0.5451680323387397,1.3839590744231971e-06,0.9999791229790547,spg_eta=1.0,Gaussian (hard),0,0
41,410000,0.5451673403947759,2.075903038201065e-06,0.9999673088757438,spg_eta=1.0,Gaussian (hard),0,0
42,420000,0.5451677232659733,1.6930318408186129e-06,0.999973286607695,spg_eta=1.0,Gaussian (hard),0,0
43,430000,0.5451679869818019,1.429316012174192e-06,0.9999774138667813,spg_eta=1.0,Gaussian (hard),0,0
44,440000,0.5451681796236294,1.2366741847038205e-06,0.9999804344936195,spg_eta=1.0,Gaussian (hard),0,0
45,450000,0.5451683259406298,1.0903571842778747e-06,0.9999827322825852,spg_eta=1.0,Gaussian (hard),0,0
